seq,canonical_rank,u,v,boundary_frame,transaction_type,training_mode,score,rank_start,rank_end,predicted_score,full_idtp_delta_norm,delta_HOTA
MOT20-01,39,5,16,292,v_to_u,p15_only,pred_clf,21,40,0.700673154717,0.0,-0.015819
MOT20-01,49,17,28,347,u_to_v,p15_only,pred_reg,41,60,0.028654354315,0.0,0.046867
MOT20-01,49,17,28,347,u_to_v,p15_only,pred_clf,41,60,0.675851735919,0.0,0.046867
MOT20-01,66,24,57,213,v_to_u,p15_only,pred_reg,61,80,-0.019060419556,-0.151291512915,-0.076203
MOT20-01,63,20,38,137,v_to_u,p15_only,pred_clf,61,80,0.347986118922,-0.26113671275,-0.475508
MOT20-01,85,17,28,343,u_to_v,p15_only,pred_reg,81,100,0.028654354315,0.0,0.046867
MOT20-01,97,5,16,206,v_to_u,p15_only,pred_clf,81,100,0.700673154717,0.0,-0.015819
MOT20-02,31,129,130,1047,v_to_u,p15_only,pred_reg,21,40,0.00161185093,0.002994011976,0.00325
MOT20-02,22,223,371,2107,u_to_v,p15_only,pred_clf,21,40,0.689739871859,-0.016903313049,-0.015253
MOT20-02,49,180,232,1409,v_to_u,p15_only,pred_reg,41,60,-0.011501263807,0.0,0.000196
MOT20-02,53,35,40,57,u_to_v,p15_only,pred_clf,41,60,0.601526566467,-0.162420382166,-0.018144
MOT20-02,62,223,371,2236,u_to_v,p15_only,pred_reg,61,80,-0.00334459412,-0.016903313049,-0.015253
MOT20-02,62,223,371,2236,u_to_v,p15_only,pred_clf,61,80,0.689739871859,-0.016903313049,-0.015253
MOT20-02,87,235,344,1813,u_to_v,p15_only,pred_reg,81,100,-0.00203112787,0.0,-0.00085
MOT20-02,83,223,371,2154,u_to_v,p15_only,pred_clf,81,100,0.689739871859,-0.016903313049,-0.015253
MOT20-03,21,295,328,1941,u_to_v,p15_only,pred_reg,21,40,0.003434601826,0.0,-1.6e-05
MOT20-03,21,295,328,1941,u_to_v,p15_only,pred_clf,21,40,0.592896411819,0.0,-1.6e-05
MOT20-03,50,399,435,1989,v_to_u,p15_only,pred_reg,41,60,0.02299675351,-0.146394756009,-0.06296
MOT20-03,57,533,643,2081,v_to_u,p15_only,pred_clf,41,60,0.592493280868,-0.145679012346,-0.0052
MOT20-03,80,342,533,1746,u_to_v,p15_only,pred_reg,61,80,0.021861831875,-0.187165775401,-0.04036
MOT20-03,73,302,322,1195,v_to_u,p15_only,pred_clf,61,80,0.587531598252,0.272727272727,0.005897
MOT20-03,84,399,402,2189,v_to_u,p15_only,pred_reg,81,100,-0.007526882973,0.0,-0.0015
MOT20-03,91,363,399,2220,u_to_v,p15_only,pred_clf,81,100,0.546807972629,-0.011583011583,-0.01307
MOT20-05,28,525,874,1582,v_to_u,p15_only,pred_reg,21,40,0.115247779825,0.028806584362,0.005942
MOT20-05,24,1413,1421,2924,v_to_u,p15_only,pred_clf,21,40,0.465933618204,0.001610305958,0.000321
MOT20-05,58,142,346,307,v_to_u,p15_only,pred_reg,41,60,0.126488074294,0.034782608696,-0.005329
MOT20-05,58,142,346,307,v_to_u,p15_only,pred_clf,41,60,0.552716751589,0.034782608696,-0.005329
MOT20-05,62,3,494,1013,v_to_u,p15_only,pred_reg,61,80,-0.022069813606,-0.005214600882,-0.002614
MOT20-05,65,631,840,1237,v_to_u,p15_only,pred_clf,61,80,0.597761787709,-0.331578947368,-0.016714
MOT20-05,95,225,263,1216,v_to_u,p15_only,pred_reg,81,100,0.120181815482,0.0,0.017851
MOT20-05,89,137,142,158,u_to_v,p15_only,pred_clf,81,100,0.59011528065,-0.062279670975,-0.00242
