seq_id,seq_name,status,started_at,finished_at,result_file,reentry_summary_csv,notes
34,dancetrack0034,success,2026-06-02T12:24:27+08:00,2026-06-02T12:31:16+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0034.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0034_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0034.log
35,dancetrack0035,success,2026-06-02T12:31:17+08:00,2026-06-02T12:37:05+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0035.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0035_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0035.log
41,dancetrack0041,success,2026-06-02T12:37:06+08:00,2026-06-02T12:44:59+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0041.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0041_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0041.log
43,dancetrack0043,success,2026-06-02T12:44:59+08:00,2026-06-02T12:47:05+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0043.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0043_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0043.log
47,dancetrack0047,success,2026-06-02T12:47:05+08:00,2026-06-02T12:55:04+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0047.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0047_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0047.log
58,dancetrack0058,success,2026-06-02T12:55:04+08:00,2026-06-02T13:06:11+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0058.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0058_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0058.log
63,dancetrack0063,success,2026-06-02T13:06:12+08:00,2026-06-02T13:12:51+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0063.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0063_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0063.log
65,dancetrack0065,success,2026-06-02T13:12:51+08:00,2026-06-02T13:17:28+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0065.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0065_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0065.log
73,dancetrack0073,success,2026-06-02T13:17:28+08:00,2026-06-02T13:22:09+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0073.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0073_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0073.log
77,dancetrack0077,success,2026-06-02T13:22:10+08:00,2026-06-02T13:28:59+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0077.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0077_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0077.log
79,dancetrack0079,success,2026-06-02T13:28:59+08:00,2026-06-02T13:36:09+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0079.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0079_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0079.log
81,dancetrack0081,success,2026-06-02T13:36:09+08:00,2026-06-02T13:42:24+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0081.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0081_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0081.log
90,dancetrack0090,success,2026-06-02T13:42:24+08:00,2026-06-02T13:48:39+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0090.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0090_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0090.log
94,dancetrack0094,success,2026-06-02T13:48:39+08:00,2026-06-02T13:52:49+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0094.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0094_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0094.log
97,dancetrack0097,success,2026-06-02T13:52:49+08:00,2026-06-02T13:59:04+08:00,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/track_results/dancetrack0097.txt,/gemini/code/FMtrack-main/FM-Track/external/BoT-SORT-main/YOLOX_outputs/learned_commit_fullval_20260602/reentry_analysis/dancetrack0097_summary.csv,/gemini/code/FMtrack-main/FM-Track/outputs/learned_commit_fullval_20260602/logs/dancetrack0097.log
