seq,canonical_rank,u,v,boundary_frame,transaction_type,executor_accepted,outer_clean_transaction_score,pred_expected,pred_q25,pred_median,prob_positive,prob_negative,prob_catastrophic,prob_margin,delta_HOTA,delta_HOTA_norm,ranking_score,rank_start,rank_end,certificate_gate,certificate_pass,lcb_expected,lcb_median,null_p_value,outer_held_out_seq,gate_test_seq
MOT20-05,54,799,813,1690,v_to_u,1,0.585336160745,-0.462419885216,-0.658878136189,-0.250587025844,0.56511222055,0.429910417662,0.0,0.135201802888,0.007516,0.3758,0.088959814366,41,60,pooled_expected_lcb_a10,0,-2.211601836242,-1.630461487771,,MOT20-01,MOT20-05
MOT20-05,67,142,394,395,v_to_u,1,0.569001160231,-0.612327693673,-1.644059881424,-1.082482354905,0.590865907865,0.421935547646,0.001882006358,0.165166347503,-0.002394,-0.1197,0.103933578136,61,80,pooled_expected_lcb_a10,0,-2.3615096447,-2.462356816831,,MOT20-01,MOT20-05
MOT20-05,96,1377,1380,3218,v_to_u,1,0.543461427106,-0.026681253419,-0.052204920823,0.033033755757,0.636716923414,0.310849641021,0.0,0.325867282393,-0.002264,-0.1132,0.323199157051,81,100,pooled_expected_lcb_a10,0,-1.775863204445,-1.346840706169,,MOT20-01,MOT20-05
MOT20-02,23,289,298,1930,v_to_u,1,0.685475843409,-0.57223871057,-0.278981325367,-0.296021873019,0.662913905509,0.322025900513,0.0,0.340888004995,-0.01418,-0.709,0.283664133938,21,40,group_expected_lcb_a40,0,-2.600857278487,-2.138015212355,,MOT20-01,MOT20-02
MOT20-02,57,150,169,1223,u_to_v,1,0.604001744946,-1.148254212709,-1.478335568798,-0.925533800522,0.870586748952,0.146741549794,0.001216517857,0.721412163444,0.040555,2.02775,0.606586742173,41,60,group_expected_lcb_a40,0,-3.176872780627,-2.767527139858,,MOT20-01,MOT20-02
MOT20-02,73,312,412,2043,v_to_u,1,0.58208871996,0.031952452859,-0.022508262729,0.001111025245,0.793859709378,0.236051145469,0.0,0.557808563909,-0.00954,-0.476999999999,0.561003809195,61,80,group_expected_lcb_a40,0,-1.996666115058,-1.840882314091,,MOT20-01,MOT20-02
MOT20-02,91,262,454,2111,v_to_u,1,0.555738299947,-0.600988759314,-1.167533930102,-0.764910276086,0.677562913042,0.309192315068,0.144847197717,0.078676202541,0.07349,3.6745,0.018577326609,81,100,group_expected_lcb_a40,0,-2.629607327231,-2.606903615422,,MOT20-01,MOT20-02
MOT20-03,27,355,403,2122,v_to_u,1,0.623293399572,0.141836071175,-0.171118578935,-0.014695056034,0.902075186889,0.09098654489,0.0,0.811088641998,5.5e-05,0.002749999999,0.825272249116,21,40,group_expected_lcb_a40,0,-0.625606293567,-0.627980404045,,MOT20-01,MOT20-03
MOT20-03,43,777,779,2374,u_to_v,1,0.543347804883,-0.082660576973,-0.100326164305,-0.038242733929,0.359990545179,0.613258834868,0.0,-0.253268289689,-0.00095,-0.0475,-0.261534347387,41,60,group_expected_lcb_a40,0,-0.850102941715,-0.65152808194,,MOT20-01,MOT20-03
MOT20-03,79,270,276,1104,v_to_u,1,0.477525237764,-0.177811116305,-0.231142031724,-0.224195074785,0.350601569348,0.651022021133,0.0,-0.300420451785,-0.00154,-0.077,-0.318201563416,61,80,group_expected_lcb_a40,0,-0.945253481047,-0.837480422796,,MOT20-01,MOT20-03
MOT20-03,94,131,280,1199,u_to_v,1,0.441819936043,0.104610210176,-0.259037010084,-0.024615630854,0.867384884099,0.133612675784,0.0,0.733772208315,-0.0001,-0.005,0.744233229333,81,100,group_expected_lcb_a40,0,-0.662832154566,-0.637900978866,,MOT20-01,MOT20-03
MOT20-05,38,1123,1366,2963,u_to_v,1,0.61658454675,-0.046055069129,-0.181102402374,-0.051155959887,0.556482773676,0.451346629672,0.002962407346,0.09921132931,-0.002277,-0.11385,0.094605822398,21,40,group_expected_lcb_a40,0,-1.795237020156,-1.431030421813,,MOT20-01,MOT20-05
MOT20-05,54,799,813,1690,v_to_u,1,0.585336160745,-0.462419885216,-0.658878136189,-0.250587025844,0.56511222055,0.429910417662,0.0,0.135201802888,0.007516,0.3758,0.088959814366,41,60,group_expected_lcb_a40,0,-2.211601836242,-1.630461487771,,MOT20-01,MOT20-05
MOT20-05,67,142,394,395,v_to_u,1,0.569001160231,-0.612327693673,-1.644059881424,-1.082482354905,0.590865907865,0.421935547646,0.001882006358,0.165166347503,-0.002394,-0.1197,0.103933578136,61,80,group_expected_lcb_a40,0,-2.3615096447,-2.462356816831,,MOT20-01,MOT20-05
MOT20-05,96,1377,1380,3218,v_to_u,1,0.543461427106,-0.026681253419,-0.052204920823,0.033033755757,0.636716923414,0.310849641021,0.0,0.325867282393,-0.002264,-0.1132,0.323199157051,81,100,group_expected_lcb_a40,0,-1.775863204445,-1.346840706169,,MOT20-01,MOT20-05
MOT20-02,23,289,298,1930,v_to_u,1,0.685475843409,-0.57223871057,-0.278981325367,-0.296021873019,0.662913905509,0.322025900513,0.0,0.340888004995,-0.01418,-0.709,0.283664133938,21,40,group_expected_lcb_a25,0,-2.600857278487,-2.138015212355,,MOT20-01,MOT20-02
MOT20-02,57,150,169,1223,u_to_v,1,0.604001744946,-1.148254212709,-1.478335568798,-0.925533800522,0.870586748952,0.146741549794,0.001216517857,0.721412163444,0.040555,2.02775,0.606586742173,41,60,group_expected_lcb_a25,0,-3.176872780627,-2.767527139858,,MOT20-01,MOT20-02
MOT20-02,73,312,412,2043,v_to_u,1,0.58208871996,0.031952452859,-0.022508262729,0.001111025245,0.793859709378,0.236051145469,0.0,0.557808563909,-0.00954,-0.476999999999,0.561003809195,61,80,group_expected_lcb_a25,0,-1.996666115058,-1.840882314091,,MOT20-01,MOT20-02
MOT20-02,91,262,454,2111,v_to_u,1,0.555738299947,-0.600988759314,-1.167533930102,-0.764910276086,0.677562913042,0.309192315068,0.144847197717,0.078676202541,0.07349,3.6745,0.018577326609,81,100,group_expected_lcb_a25,0,-2.629607327231,-2.606903615422,,MOT20-01,MOT20-02
MOT20-03,27,355,403,2122,v_to_u,1,0.623293399572,0.141836071175,-0.171118578935,-0.014695056034,0.902075186889,0.09098654489,0.0,0.811088641998,5.5e-05,0.002749999999,0.825272249116,21,40,group_expected_lcb_a25,0,-0.625606293567,-0.627980404045,,MOT20-01,MOT20-03
MOT20-03,43,777,779,2374,u_to_v,1,0.543347804883,-0.082660576973,-0.100326164305,-0.038242733929,0.359990545179,0.613258834868,0.0,-0.253268289689,-0.00095,-0.0475,-0.261534347387,41,60,group_expected_lcb_a25,0,-0.850102941715,-0.65152808194,,MOT20-01,MOT20-03
MOT20-03,79,270,276,1104,v_to_u,1,0.477525237764,-0.177811116305,-0.231142031724,-0.224195074785,0.350601569348,0.651022021133,0.0,-0.300420451785,-0.00154,-0.077,-0.318201563416,61,80,group_expected_lcb_a25,0,-0.945253481047,-0.837480422796,,MOT20-01,MOT20-03
MOT20-03,94,131,280,1199,u_to_v,1,0.441819936043,0.104610210176,-0.259037010084,-0.024615630854,0.867384884099,0.133612675784,0.0,0.733772208315,-0.0001,-0.005,0.744233229333,81,100,group_expected_lcb_a25,0,-0.662832154566,-0.637900978866,,MOT20-01,MOT20-03
MOT20-05,38,1123,1366,2963,u_to_v,1,0.61658454675,-0.046055069129,-0.181102402374,-0.051155959887,0.556482773676,0.451346629672,0.002962407346,0.09921132931,-0.002277,-0.11385,0.094605822398,21,40,group_expected_lcb_a25,0,-1.795237020156,-1.431030421813,,MOT20-01,MOT20-05
MOT20-05,54,799,813,1690,v_to_u,1,0.585336160745,-0.462419885216,-0.658878136189,-0.250587025844,0.56511222055,0.429910417662,0.0,0.135201802888,0.007516,0.3758,0.088959814366,41,60,group_expected_lcb_a25,0,-2.211601836242,-1.630461487771,,MOT20-01,MOT20-05
MOT20-05,67,142,394,395,v_to_u,1,0.569001160231,-0.612327693673,-1.644059881424,-1.082482354905,0.590865907865,0.421935547646,0.001882006358,0.165166347503,-0.002394,-0.1197,0.103933578136,61,80,group_expected_lcb_a25,0,-2.3615096447,-2.462356816831,,MOT20-01,MOT20-05
MOT20-05,96,1377,1380,3218,v_to_u,1,0.543461427106,-0.026681253419,-0.052204920823,0.033033755757,0.636716923414,0.310849641021,0.0,0.325867282393,-0.002264,-0.1132,0.323199157051,81,100,group_expected_lcb_a25,0,-1.775863204445,-1.346840706169,,MOT20-01,MOT20-05
MOT20-02,23,289,298,1930,v_to_u,1,0.685475843409,-0.57223871057,-0.278981325367,-0.296021873019,0.662913905509,0.322025900513,0.0,0.340888004995,-0.01418,-0.709,0.283664133938,21,40,pooled_median_lcb_a25,0,-2.600857278487,-2.138015212355,,MOT20-01,MOT20-02
MOT20-02,57,150,169,1223,u_to_v,1,0.604001744946,-1.148254212709,-1.478335568798,-0.925533800522,0.870586748952,0.146741549794,0.001216517857,0.721412163444,0.040555,2.02775,0.606586742173,41,60,pooled_median_lcb_a25,0,-3.176872780627,-2.767527139858,,MOT20-01,MOT20-02
MOT20-02,73,312,412,2043,v_to_u,1,0.58208871996,0.031952452859,-0.022508262729,0.001111025245,0.793859709378,0.236051145469,0.0,0.557808563909,-0.00954,-0.476999999999,0.561003809195,61,80,pooled_median_lcb_a25,0,-1.996666115058,-1.840882314091,,MOT20-01,MOT20-02
MOT20-02,91,262,454,2111,v_to_u,1,0.555738299947,-0.600988759314,-1.167533930102,-0.764910276086,0.677562913042,0.309192315068,0.144847197717,0.078676202541,0.07349,3.6745,0.018577326609,81,100,pooled_median_lcb_a25,0,-2.629607327231,-2.606903615422,,MOT20-01,MOT20-02
MOT20-03,27,355,403,2122,v_to_u,1,0.623293399572,0.141836071175,-0.171118578935,-0.014695056034,0.902075186889,0.09098654489,0.0,0.811088641998,5.5e-05,0.002749999999,0.825272249116,21,40,pooled_median_lcb_a25,0,-0.625606293567,-0.627980404045,,MOT20-01,MOT20-03
MOT20-03,43,777,779,2374,u_to_v,1,0.543347804883,-0.082660576973,-0.100326164305,-0.038242733929,0.359990545179,0.613258834868,0.0,-0.253268289689,-0.00095,-0.0475,-0.261534347387,41,60,pooled_median_lcb_a25,0,-0.850102941715,-0.65152808194,,MOT20-01,MOT20-03
MOT20-03,79,270,276,1104,v_to_u,1,0.477525237764,-0.177811116305,-0.231142031724,-0.224195074785,0.350601569348,0.651022021133,0.0,-0.300420451785,-0.00154,-0.077,-0.318201563416,61,80,pooled_median_lcb_a25,0,-0.945253481047,-0.837480422796,,MOT20-01,MOT20-03
MOT20-03,94,131,280,1199,u_to_v,1,0.441819936043,0.104610210176,-0.259037010084,-0.024615630854,0.867384884099,0.133612675784,0.0,0.733772208315,-0.0001,-0.005,0.744233229333,81,100,pooled_median_lcb_a25,0,-0.662832154566,-0.637900978866,,MOT20-01,MOT20-03
MOT20-05,38,1123,1366,2963,u_to_v,1,0.61658454675,-0.046055069129,-0.181102402374,-0.051155959887,0.556482773676,0.451346629672,0.002962407346,0.09921132931,-0.002277,-0.11385,0.094605822398,21,40,pooled_median_lcb_a25,0,-1.795237020156,-1.431030421813,,MOT20-01,MOT20-05
MOT20-05,54,799,813,1690,v_to_u,1,0.585336160745,-0.462419885216,-0.658878136189,-0.250587025844,0.56511222055,0.429910417662,0.0,0.135201802888,0.007516,0.3758,0.088959814366,41,60,pooled_median_lcb_a25,0,-2.211601836242,-1.630461487771,,MOT20-01,MOT20-05
MOT20-05,67,142,394,395,v_to_u,1,0.569001160231,-0.612327693673,-1.644059881424,-1.082482354905,0.590865907865,0.421935547646,0.001882006358,0.165166347503,-0.002394,-0.1197,0.103933578136,61,80,pooled_median_lcb_a25,0,-2.3615096447,-2.462356816831,,MOT20-01,MOT20-05
MOT20-05,96,1377,1380,3218,v_to_u,1,0.543461427106,-0.026681253419,-0.052204920823,0.033033755757,0.636716923414,0.310849641021,0.0,0.325867282393,-0.002264,-0.1132,0.323199157051,81,100,pooled_median_lcb_a25,0,-1.775863204445,-1.346840706169,,MOT20-01,MOT20-05
MOT20-02,23,289,298,1930,v_to_u,1,0.685475843409,-0.57223871057,-0.278981325367,-0.296021873019,0.662913905509,0.322025900513,0.0,0.340888004995,-0.01418,-0.709,0.283664133938,21,40,group_median_lcb_a40,0,-2.600857278487,-2.138015212355,,MOT20-01,MOT20-02
MOT20-02,57,150,169,1223,u_to_v,1,0.604001744946,-1.148254212709,-1.478335568798,-0.925533800522,0.870586748952,0.146741549794,0.001216517857,0.721412163444,0.040555,2.02775,0.606586742173,41,60,group_median_lcb_a40,0,-3.176872780627,-2.767527139858,,MOT20-01,MOT20-02
MOT20-02,73,312,412,2043,v_to_u,1,0.58208871996,0.031952452859,-0.022508262729,0.001111025245,0.793859709378,0.236051145469,0.0,0.557808563909,-0.00954,-0.476999999999,0.561003809195,61,80,group_median_lcb_a40,0,-1.996666115058,-1.840882314091,,MOT20-01,MOT20-02
MOT20-02,91,262,454,2111,v_to_u,1,0.555738299947,-0.600988759314,-1.167533930102,-0.764910276086,0.677562913042,0.309192315068,0.144847197717,0.078676202541,0.07349,3.6745,0.018577326609,81,100,group_median_lcb_a40,0,-2.629607327231,-2.606903615422,,MOT20-01,MOT20-02
MOT20-03,27,355,403,2122,v_to_u,1,0.623293399572,0.141836071175,-0.171118578935,-0.014695056034,0.902075186889,0.09098654489,0.0,0.811088641998,5.5e-05,0.002749999999,0.825272249116,21,40,group_median_lcb_a40,0,-0.625606293567,-0.627980404045,,MOT20-01,MOT20-03
MOT20-03,43,777,779,2374,u_to_v,1,0.543347804883,-0.082660576973,-0.100326164305,-0.038242733929,0.359990545179,0.613258834868,0.0,-0.253268289689,-0.00095,-0.0475,-0.261534347387,41,60,group_median_lcb_a40,0,-0.850102941715,-0.65152808194,,MOT20-01,MOT20-03
MOT20-03,79,270,276,1104,v_to_u,1,0.477525237764,-0.177811116305,-0.231142031724,-0.224195074785,0.350601569348,0.651022021133,0.0,-0.300420451785,-0.00154,-0.077,-0.318201563416,61,80,group_median_lcb_a40,0,-0.945253481047,-0.837480422796,,MOT20-01,MOT20-03
MOT20-03,94,131,280,1199,u_to_v,1,0.441819936043,0.104610210176,-0.259037010084,-0.024615630854,0.867384884099,0.133612675784,0.0,0.733772208315,-0.0001,-0.005,0.744233229333,81,100,group_median_lcb_a40,0,-0.662832154566,-0.637900978866,,MOT20-01,MOT20-03
MOT20-05,38,1123,1366,2963,u_to_v,1,0.61658454675,-0.046055069129,-0.181102402374,-0.051155959887,0.556482773676,0.451346629672,0.002962407346,0.09921132931,-0.002277,-0.11385,0.094605822398,21,40,group_median_lcb_a40,0,-1.795237020156,-1.431030421813,,MOT20-01,MOT20-05
MOT20-05,54,799,813,1690,v_to_u,1,0.585336160745,-0.462419885216,-0.658878136189,-0.250587025844,0.56511222055,0.429910417662,0.0,0.135201802888,0.007516,0.3758,0.088959814366,41,60,group_median_lcb_a40,0,-2.211601836242,-1.630461487771,,MOT20-01,MOT20-05
MOT20-05,67,142,394,395,v_to_u,1,0.569001160231,-0.612327693673,-1.644059881424,-1.082482354905,0.590865907865,0.421935547646,0.001882006358,0.165166347503,-0.002394,-0.1197,0.103933578136,61,80,group_median_lcb_a40,0,-2.3615096447,-2.462356816831,,MOT20-01,MOT20-05
MOT20-05,96,1377,1380,3218,v_to_u,1,0.543461427106,-0.026681253419,-0.052204920823,0.033033755757,0.636716923414,0.310849641021,0.0,0.325867282393,-0.002264,-0.1132,0.323199157051,81,100,group_median_lcb_a40,0,-1.775863204445,-1.346840706169,,MOT20-01,MOT20-05
MOT20-02,23,289,298,1930,v_to_u,1,0.685475843409,-0.57223871057,-0.278981325367,-0.296021873019,0.662913905509,0.322025900513,0.0,0.340888004995,-0.01418,-0.709,0.283664133938,21,40,pooled_dual_lcb_a25,0,-2.600857278487,-2.138015212355,,MOT20-01,MOT20-02
MOT20-02,57,150,169,1223,u_to_v,1,0.604001744946,-1.148254212709,-1.478335568798,-0.925533800522,0.870586748952,0.146741549794,0.001216517857,0.721412163444,0.040555,2.02775,0.606586742173,41,60,pooled_dual_lcb_a25,0,-3.176872780627,-2.767527139858,,MOT20-01,MOT20-02
MOT20-02,73,312,412,2043,v_to_u,1,0.58208871996,0.031952452859,-0.022508262729,0.001111025245,0.793859709378,0.236051145469,0.0,0.557808563909,-0.00954,-0.476999999999,0.561003809195,61,80,pooled_dual_lcb_a25,0,-1.996666115058,-1.840882314091,,MOT20-01,MOT20-02
MOT20-02,91,262,454,2111,v_to_u,1,0.555738299947,-0.600988759314,-1.167533930102,-0.764910276086,0.677562913042,0.309192315068,0.144847197717,0.078676202541,0.07349,3.6745,0.018577326609,81,100,pooled_dual_lcb_a25,0,-2.629607327231,-2.606903615422,,MOT20-01,MOT20-02
MOT20-03,27,355,403,2122,v_to_u,1,0.623293399572,0.141836071175,-0.171118578935,-0.014695056034,0.902075186889,0.09098654489,0.0,0.811088641998,5.5e-05,0.002749999999,0.825272249116,21,40,pooled_dual_lcb_a25,0,-0.625606293567,-0.627980404045,,MOT20-01,MOT20-03
MOT20-03,43,777,779,2374,u_to_v,1,0.543347804883,-0.082660576973,-0.100326164305,-0.038242733929,0.359990545179,0.613258834868,0.0,-0.253268289689,-0.00095,-0.0475,-0.261534347387,41,60,pooled_dual_lcb_a25,0,-0.850102941715,-0.65152808194,,MOT20-01,MOT20-03
MOT20-03,79,270,276,1104,v_to_u,1,0.477525237764,-0.177811116305,-0.231142031724,-0.224195074785,0.350601569348,0.651022021133,0.0,-0.300420451785,-0.00154,-0.077,-0.318201563416,61,80,pooled_dual_lcb_a25,0,-0.945253481047,-0.837480422796,,MOT20-01,MOT20-03
MOT20-03,94,131,280,1199,u_to_v,1,0.441819936043,0.104610210176,-0.259037010084,-0.024615630854,0.867384884099,0.133612675784,0.0,0.733772208315,-0.0001,-0.005,0.744233229333,81,100,pooled_dual_lcb_a25,0,-0.662832154566,-0.637900978866,,MOT20-01,MOT20-03
MOT20-05,38,1123,1366,2963,u_to_v,1,0.61658454675,-0.046055069129,-0.181102402374,-0.051155959887,0.556482773676,0.451346629672,0.002962407346,0.09921132931,-0.002277,-0.11385,0.094605822398,21,40,pooled_dual_lcb_a25,0,-1.795237020156,-1.431030421813,,MOT20-01,MOT20-05
MOT20-05,54,799,813,1690,v_to_u,1,0.585336160745,-0.462419885216,-0.658878136189,-0.250587025844,0.56511222055,0.429910417662,0.0,0.135201802888,0.007516,0.3758,0.088959814366,41,60,pooled_dual_lcb_a25,0,-2.211601836242,-1.630461487771,,MOT20-01,MOT20-05
MOT20-05,67,142,394,395,v_to_u,1,0.569001160231,-0.612327693673,-1.644059881424,-1.082482354905,0.590865907865,0.421935547646,0.001882006358,0.165166347503,-0.002394,-0.1197,0.103933578136,61,80,pooled_dual_lcb_a25,0,-2.3615096447,-2.462356816831,,MOT20-01,MOT20-05
MOT20-05,96,1377,1380,3218,v_to_u,1,0.543461427106,-0.026681253419,-0.052204920823,0.033033755757,0.636716923414,0.310849641021,0.0,0.325867282393,-0.002264,-0.1132,0.323199157051,81,100,pooled_dual_lcb_a25,0,-1.775863204445,-1.346840706169,,MOT20-01,MOT20-05
MOT20-02,23,289,298,1930,v_to_u,1,0.685475843409,-0.57223871057,-0.278981325367,-0.296021873019,0.662913905509,0.322025900513,0.0,0.340888004995,-0.01418,-0.709,0.283664133938,21,40,group_dual_lcb_a40,0,-2.600857278487,-2.138015212355,,MOT20-01,MOT20-02
MOT20-02,57,150,169,1223,u_to_v,1,0.604001744946,-1.148254212709,-1.478335568798,-0.925533800522,0.870586748952,0.146741549794,0.001216517857,0.721412163444,0.040555,2.02775,0.606586742173,41,60,group_dual_lcb_a40,0,-3.176872780627,-2.767527139858,,MOT20-01,MOT20-02
MOT20-02,73,312,412,2043,v_to_u,1,0.58208871996,0.031952452859,-0.022508262729,0.001111025245,0.793859709378,0.236051145469,0.0,0.557808563909,-0.00954,-0.476999999999,0.561003809195,61,80,group_dual_lcb_a40,0,-1.996666115058,-1.840882314091,,MOT20-01,MOT20-02
MOT20-02,91,262,454,2111,v_to_u,1,0.555738299947,-0.600988759314,-1.167533930102,-0.764910276086,0.677562913042,0.309192315068,0.144847197717,0.078676202541,0.07349,3.6745,0.018577326609,81,100,group_dual_lcb_a40,0,-2.629607327231,-2.606903615422,,MOT20-01,MOT20-02
MOT20-03,27,355,403,2122,v_to_u,1,0.623293399572,0.141836071175,-0.171118578935,-0.014695056034,0.902075186889,0.09098654489,0.0,0.811088641998,5.5e-05,0.002749999999,0.825272249116,21,40,group_dual_lcb_a40,0,-0.625606293567,-0.627980404045,,MOT20-01,MOT20-03
MOT20-03,43,777,779,2374,u_to_v,1,0.543347804883,-0.082660576973,-0.100326164305,-0.038242733929,0.359990545179,0.613258834868,0.0,-0.253268289689,-0.00095,-0.0475,-0.261534347387,41,60,group_dual_lcb_a40,0,-0.850102941715,-0.65152808194,,MOT20-01,MOT20-03
MOT20-03,79,270,276,1104,v_to_u,1,0.477525237764,-0.177811116305,-0.231142031724,-0.224195074785,0.350601569348,0.651022021133,0.0,-0.300420451785,-0.00154,-0.077,-0.318201563416,61,80,group_dual_lcb_a40,0,-0.945253481047,-0.837480422796,,MOT20-01,MOT20-03
