seq,u,v,boundary_frame,transaction_type,donor_raw_tid,receiver_raw_tid,accepted,reject_reason,effective_start_frame,changed_rows,pair_common_frames,pair_common_span,canonical_rank,enumeration_rank,candidate_priority,selected_for_teacher
MOT17-02-FRCNN,7,23,40,u_to_v,7,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,7,23,40,v_to_u,23,7,1,,41.0,165,18,18,0,31,9.100937821205,0
MOT17-02-FRCNN,8,23,40,u_to_v,8,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,8,23,40,v_to_u,23,8,1,,41.0,289,18,18,0,32,9.763853638732,0
MOT17-02-FRCNN,9,23,40,u_to_v,9,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,9,23,40,v_to_u,23,9,1,,41.0,106,18,18,0,33,10.361290831149,0
MOT17-02-FRCNN,10,23,40,u_to_v,10,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,10,23,40,v_to_u,23,10,1,,41.0,19,18,18,0,34,16.787141498105,0
MOT17-02-FRCNN,11,23,40,u_to_v,11,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,11,23,40,v_to_u,23,11,1,,41.0,6,18,18,0,35,2.452926775659,0
MOT17-02-FRCNN,12,23,40,u_to_v,12,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,12,23,40,v_to_u,23,12,1,,41.0,182,18,18,0,36,4.934861848672,0
MOT17-02-FRCNN,13,23,40,u_to_v,13,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,13,23,40,v_to_u,23,13,1,,41.0,353,18,18,0,37,7.991873313879,0
MOT17-02-FRCNN,14,23,40,u_to_v,14,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,14,23,40,v_to_u,23,14,1,,41.0,320,18,18,0,38,18.066332104947,0
MOT17-02-FRCNN,15,23,40,u_to_v,15,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,15,23,40,v_to_u,23,15,1,,41.0,253,18,18,0,39,22.451370382223,0
MOT17-02-FRCNN,16,23,40,u_to_v,16,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,16,23,40,v_to_u,23,16,1,,41.0,283,18,18,0,40,21.813489439744,0
MOT17-02-FRCNN,17,23,40,u_to_v,17,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,17,23,40,v_to_u,23,17,1,,41.0,78,18,18,0,41,14.088145758248,0
MOT17-02-FRCNN,18,23,40,u_to_v,18,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,18,23,40,v_to_u,23,18,1,,41.0,38,18,18,0,42,13.65178008073,0
MOT17-02-FRCNN,19,23,40,u_to_v,19,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,19,23,40,v_to_u,23,19,1,,41.0,94,18,18,0,43,10.555192956103,0
MOT17-02-FRCNN,20,23,40,u_to_v,20,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,20,23,40,v_to_u,23,20,1,,41.0,338,18,18,0,44,10.706897071895,0
MOT17-02-FRCNN,21,23,40,u_to_v,21,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,21,23,40,v_to_u,23,21,1,,41.0,41,18,18,2,45,1.357824113107,1
MOT17-02-FRCNN,22,23,40,u_to_v,22,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0,,0
MOT17-02-FRCNN,22,23,40,v_to_u,23,22,1,,41.0,212,18,18,0,46,13.138162377563,0
MOT17-02-FRCNN,23,24,40,u_to_v,23,24,1,,41.0,560,11,11,0,47,17.535405945844,0
MOT17-02-FRCNN,23,24,40,v_to_u,24,23,0,no_post_boundary_handoff_frame,,0,11,11,0,0,,0
MOT17-02-FRCNN,23,26,40,u_to_v,23,26,1,,41.0,1,9,9,0,48,11.037807631423,0
MOT17-02-FRCNN,23,26,40,v_to_u,26,23,0,no_post_boundary_handoff_frame,,0,9,9,0,0,,0
MOT17-02-FRCNN,1,26,41,u_to_v,1,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,1,26,41,v_to_u,26,1,1,,42.0,518,10,10,0,49,6.233605565361,0
MOT17-02-FRCNN,2,26,41,u_to_v,2,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,2,26,41,v_to_u,26,2,1,,42.0,184,10,10,0,50,1.698299893498,0
MOT17-02-FRCNN,3,26,41,u_to_v,3,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,3,26,41,v_to_u,26,3,1,,42.0,404,10,10,0,51,7.342794589745,0
MOT17-02-FRCNN,4,26,41,u_to_v,4,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,4,26,41,v_to_u,26,4,1,,42.0,290,10,10,0,52,2.253832214446,0
MOT17-02-FRCNN,5,26,41,u_to_v,5,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,5,26,41,v_to_u,26,5,1,,42.0,18,10,10,0,53,7.653347134938,0
MOT17-02-FRCNN,6,26,41,u_to_v,6,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,6,26,41,v_to_u,26,6,1,,42.0,370,10,10,0,54,1.765244107403,0
MOT17-02-FRCNN,7,26,41,u_to_v,7,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,7,26,41,v_to_u,26,7,1,,42.0,164,10,10,0,55,2.251712523533,0
MOT17-02-FRCNN,8,26,41,u_to_v,8,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,8,26,41,v_to_u,26,8,1,,42.0,288,10,10,0,56,6.119243408926,0
MOT17-02-FRCNN,9,26,41,u_to_v,9,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,9,26,41,v_to_u,26,9,1,,42.0,105,10,10,0,57,7.806319288749,0
MOT17-02-FRCNN,10,26,41,u_to_v,10,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,10,26,41,v_to_u,26,10,1,,42.0,18,10,10,0,58,11.644398709984,0
MOT17-02-FRCNN,11,26,41,u_to_v,11,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,11,26,41,v_to_u,26,11,1,,42.0,5,10,10,0,59,8.998801661726,0
MOT17-02-FRCNN,12,26,41,u_to_v,12,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,12,26,41,v_to_u,26,12,1,,42.0,181,10,10,0,60,5.274974524983,0
MOT17-02-FRCNN,13,26,41,u_to_v,13,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,13,26,41,v_to_u,26,13,1,,42.0,352,10,10,0,61,0.769445848882,0
MOT17-02-FRCNN,14,26,41,u_to_v,14,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,14,26,41,v_to_u,26,14,1,,42.0,319,10,10,0,62,14.062957353846,0
MOT17-02-FRCNN,15,26,41,u_to_v,15,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,15,26,41,v_to_u,26,15,1,,42.0,252,10,10,0,63,14.799547080685,0
MOT17-02-FRCNN,16,26,41,u_to_v,16,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,16,26,41,v_to_u,26,16,1,,42.0,282,10,10,0,64,14.455427426947,0
MOT17-02-FRCNN,17,26,41,u_to_v,17,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,17,26,41,v_to_u,26,17,1,,42.0,77,10,10,0,65,7.706861518817,0
MOT17-02-FRCNN,18,26,41,u_to_v,18,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,18,26,41,v_to_u,26,18,1,,42.0,37,10,10,0,66,9.301237380438,0
MOT17-02-FRCNN,19,26,41,u_to_v,19,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,19,26,41,v_to_u,26,19,1,,42.0,93,10,10,0,67,0.814142611707,0
MOT17-02-FRCNN,20,26,41,u_to_v,20,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,20,26,41,v_to_u,26,20,1,,42.0,337,10,10,3,68,0.114520455498,1
MOT17-02-FRCNN,21,26,41,u_to_v,21,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,21,26,41,v_to_u,26,21,1,,42.0,40,10,10,0,69,8.355472252407,0
MOT17-02-FRCNN,22,26,41,u_to_v,22,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,22,26,41,v_to_u,26,22,1,,42.0,211,10,10,0,70,8.34278917253,0
MOT17-02-FRCNN,24,26,41,u_to_v,24,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0,,0
MOT17-02-FRCNN,24,26,41,v_to_u,26,24,1,,42.0,559,10,10,0,71,12.89719308749,0
MOT17-02-FRCNN,26,27,41,u_to_v,26,27,1,,42.0,230,1,1,0,72,10.827071193841,0
MOT17-02-FRCNN,26,27,41,v_to_u,27,26,0,no_post_boundary_handoff_frame,,0,1,1,0,0,,0
MOT17-02-FRCNN,1,11,46,u_to_v,1,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0,,0
MOT17-02-FRCNN,1,11,46,v_to_u,11,1,1,,47.0,513,46,46,0,73,6.679343539773,0
MOT17-02-FRCNN,2,11,46,u_to_v,2,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0,,0
MOT17-02-FRCNN,2,11,46,v_to_u,11,2,1,,47.0,179,46,46,0,74,7.361217867252,0
MOT17-02-FRCNN,3,11,46,u_to_v,3,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0,,0
MOT17-02-FRCNN,3,11,46,v_to_u,11,3,1,,47.0,399,46,46,0,75,6.600680018276,0
MOT17-02-FRCNN,4,11,46,u_to_v,4,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0,,0
MOT17-02-FRCNN,4,11,46,v_to_u,11,4,1,,47.0,285,46,46,0,76,7.18437165931,0
MOT17-02-FRCNN,5,11,46,u_to_v,5,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0,,0
MOT17-02-FRCNN,5,11,46,v_to_u,11,5,1,,47.0,13,46,46,4,77,0.399429208818,1
MOT17-02-FRCNN,6,11,46,u_to_v,6,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0,,0
MOT17-02-FRCNN,6,11,46,v_to_u,11,6,1,,47.0,365,46,46,0,78,7.123750035179,0
MOT17-02-FRCNN,7,11,46,u_to_v,7,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0,,0
MOT17-02-FRCNN,7,11,46,v_to_u,11,7,1,,47.0,159,46,46,0,79,8.246310440531,0
MOT17-02-FRCNN,8,11,46,u_to_v,8,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0,,0
MOT17-02-FRCNN,8,11,46,v_to_u,11,8,1,,47.0,283,46,46,0,80,7.338781940275,0
MOT17-02-FRCNN,9,11,46,u_to_v,9,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0,,0
MOT17-02-FRCNN,9,11,46,v_to_u,11,9,1,,47.0,100,46,46,0,81,7.395359357736,0
MOT17-02-FRCNN,10,11,46,u_to_v,10,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0,,0
MOT17-02-FRCNN,10,11,46,v_to_u,11,10,1,,47.0,13,46,46,0,82,12.483004334086,0
MOT17-02-FRCNN,11,12,46,u_to_v,11,12,1,,47.0,176,46,46,0,83,6.153114711907,0
MOT17-02-FRCNN,11,12,46,v_to_u,12,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0,,0
MOT17-02-FRCNN,11,13,46,u_to_v,11,13,1,,47.0,347,46,46,0,84,7.75232303066,0
MOT17-02-FRCNN,11,13,46,v_to_u,13,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0,,0
MOT17-02-FRCNN,11,14,46,u_to_v,11,14,1,,47.0,314,46,46,0,85,13.587985543499,0
MOT17-02-FRCNN,11,14,46,v_to_u,14,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0,,0
MOT17-02-FRCNN,11,15,46,u_to_v,11,15,1,,47.0,247,46,46,0,86,17.415198846208,0
MOT17-02-FRCNN,11,15,46,v_to_u,15,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0,,0
MOT17-02-FRCNN,11,16,46,u_to_v,11,16,1,,47.0,277,46,46,0,87,16.878525601203,0
MOT17-02-FRCNN,11,16,46,v_to_u,16,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0,,0
MOT17-02-FRCNN,11,17,46,u_to_v,11,17,1,,47.0,72,46,46,0,88,10.558631858007,0
MOT17-02-FRCNN,11,17,46,v_to_u,17,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0,,0
MOT17-02-FRCNN,11,18,46,u_to_v,11,18,1,,47.0,32,46,46,0,89,10.356776304069,0
MOT17-02-FRCNN,11,18,46,v_to_u,18,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0,,0
MOT17-02-FRCNN,11,19,46,u_to_v,11,19,1,,47.0,88,46,46,0,90,9.829656078645,0
MOT17-02-FRCNN,11,19,46,v_to_u,19,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0,,0
MOT17-02-FRCNN,11,20,46,u_to_v,11,20,1,,47.0,332,46,46,0,91,9.445943234828,0
MOT17-02-FRCNN,11,20,46,v_to_u,20,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0,,0
MOT17-02-FRCNN,11,21,46,u_to_v,11,21,1,,47.0,35,43,43,0,92,3.684266463941,0
MOT17-02-FRCNN,11,21,46,v_to_u,21,11,0,no_post_boundary_handoff_frame,,0,43,43,0,0,,0
MOT17-02-FRCNN,11,22,46,u_to_v,11,22,1,,47.0,206,35,35,0,93,10.1730212092,0
MOT17-02-FRCNN,11,22,46,v_to_u,22,11,0,no_post_boundary_handoff_frame,,0,35,35,0,0,,0
MOT17-02-FRCNN,11,24,46,u_to_v,11,24,1,,47.0,554,17,17,0,94,13.047048883672,0
MOT17-02-FRCNN,11,24,46,v_to_u,24,11,0,no_post_boundary_handoff_frame,,0,17,17,0,0,,0
MOT17-02-FRCNN,11,27,46,u_to_v,11,27,1,,47.0,225,6,6,0,95,13.092446623766,0
MOT17-02-FRCNN,11,27,46,v_to_u,27,11,0,no_post_boundary_handoff_frame,,0,6,6,0,0,,0
MOT17-02-FRCNN,5,19,49,u_to_v,5,19,1,,73.0,85,49,49,0,96,8.711677425921,0
MOT17-02-FRCNN,5,19,49,v_to_u,19,5,1,,50.0,10,49,49,0,97,8.711677425921,0
MOT17-02-FRCNN,10,19,49,u_to_v,10,19,1,,73.0,85,49,49,0,98,9.967012411441,0
MOT17-02-FRCNN,10,19,49,v_to_u,19,10,1,,50.0,10,49,49,0,99,9.967012411441,0
MOT17-02-FRCNN,19,28,49,u_to_v,19,28,1,,50.0,15,2,2,0,100,9.168144544327,0
MOT17-02-FRCNN,19,28,49,v_to_u,28,19,1,,73.0,85,2,2,0,101,9.168144544327,0
MOT17-02-FRCNN,1,5,59,u_to_v,1,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,1,5,59,v_to_u,5,1,1,,60.0,500,59,59,0,102,5.759897215658,0
MOT17-02-FRCNN,1,10,59,u_to_v,1,10,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,1,10,59,v_to_u,10,1,1,,60.0,500,59,59,0,103,1.69057932644,0
MOT17-02-FRCNN,2,5,59,u_to_v,2,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,2,5,59,v_to_u,5,2,1,,60.0,166,59,59,0,104,6.507276295344,0
MOT17-02-FRCNN,2,10,59,u_to_v,2,10,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,2,10,59,v_to_u,10,2,1,,60.0,166,59,59,0,105,8.346266679276,0
MOT17-02-FRCNN,3,5,59,u_to_v,3,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,3,5,59,v_to_u,5,3,1,,60.0,386,59,59,0,106,5.678260942381,0
MOT17-02-FRCNN,3,10,59,u_to_v,3,10,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,3,10,59,v_to_u,10,3,1,,60.0,386,59,59,0,107,1.308624049687,0
MOT17-02-FRCNN,4,5,59,u_to_v,4,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,4,5,59,v_to_u,5,4,1,,60.0,272,59,59,0,108,6.549324165952,0
MOT17-02-FRCNN,4,10,59,u_to_v,4,10,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,4,10,59,v_to_u,10,4,1,,60.0,272,59,59,0,109,9.280985444192,0
MOT17-02-FRCNN,5,6,59,u_to_v,5,6,1,,60.0,352,59,59,0,110,6.418914130618,0
MOT17-02-FRCNN,5,6,59,v_to_u,6,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,5,7,59,u_to_v,5,7,1,,60.0,146,59,59,0,111,7.356711084461,0
MOT17-02-FRCNN,5,7,59,v_to_u,7,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,5,8,59,u_to_v,5,8,1,,60.0,270,59,59,0,112,6.333528791835,0
MOT17-02-FRCNN,5,8,59,v_to_u,8,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,5,9,59,u_to_v,5,9,1,,60.0,87,59,59,0,113,6.334959426379,0
MOT17-02-FRCNN,5,9,59,v_to_u,9,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,5,10,59,u_to_v,5,10,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,5,10,59,v_to_u,10,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,5,12,59,u_to_v,5,12,1,,60.0,163,59,59,0,114,5.68131512204,0
MOT17-02-FRCNN,5,12,59,v_to_u,12,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,5,13,59,u_to_v,5,13,1,,60.0,334,59,59,0,115,6.967566578428,0
MOT17-02-FRCNN,5,13,59,v_to_u,13,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,5,14,59,u_to_v,5,14,1,,60.0,301,59,59,0,116,11.710373297626,0
MOT17-02-FRCNN,5,14,59,v_to_u,14,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,5,15,59,u_to_v,5,15,1,,60.0,234,59,59,0,117,15.136485481673,0
MOT17-02-FRCNN,5,15,59,v_to_u,15,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,5,16,59,u_to_v,5,16,1,,60.0,264,59,59,0,118,14.762034594671,0
MOT17-02-FRCNN,5,16,59,v_to_u,16,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,5,17,59,u_to_v,5,17,1,,60.0,59,59,59,0,119,9.686681085161,0
MOT17-02-FRCNN,5,17,59,v_to_u,17,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,5,18,59,u_to_v,5,18,1,,60.0,19,59,59,0,120,9.098856388493,0
MOT17-02-FRCNN,5,18,59,v_to_u,18,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,5,20,59,u_to_v,5,20,1,,60.0,319,59,59,0,121,7.966096682702,0
MOT17-02-FRCNN,5,20,59,v_to_u,20,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0,,0
MOT17-02-FRCNN,5,21,59,u_to_v,5,21,1,,60.0,22,56,56,0,122,3.168468769185,0
