seq,u,v,boundary_frame,transaction_type,donor_raw_tid,receiver_raw_tid,accepted,reject_reason,effective_start_frame,changed_rows,pair_common_frames,pair_common_span,canonical_rank
MOT17-09-FRCNN,2,10,83,u_to_v,2,10,0,no_post_boundary_handoff_frame,,0,16,16,0
MOT17-09-FRCNN,2,10,83,v_to_u,10,2,1,,84.0,309,16,16,16
MOT17-09-FRCNN,3,10,83,u_to_v,3,10,0,no_post_boundary_handoff_frame,,0,16,16,0
MOT17-09-FRCNN,3,10,83,v_to_u,10,3,1,,84.0,36,16,16,17
MOT17-09-FRCNN,4,10,83,u_to_v,4,10,0,no_post_boundary_handoff_frame,,0,16,16,0
MOT17-09-FRCNN,4,10,83,v_to_u,10,4,1,,84.0,442,16,16,18
MOT17-09-FRCNN,5,10,83,u_to_v,5,10,0,no_post_boundary_handoff_frame,,0,16,16,0
MOT17-09-FRCNN,5,10,83,v_to_u,10,5,1,,84.0,138,16,16,19
MOT17-09-FRCNN,6,10,83,u_to_v,6,10,0,no_post_boundary_handoff_frame,,0,16,16,0
MOT17-09-FRCNN,6,10,83,v_to_u,10,6,1,,84.0,167,16,16,20
MOT17-09-FRCNN,9,10,83,u_to_v,9,10,0,no_post_boundary_handoff_frame,,0,16,16,0
MOT17-09-FRCNN,9,10,83,v_to_u,10,9,1,,84.0,128,16,16,21
MOT17-09-FRCNN,1,11,110,u_to_v,1,11,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,1,11,110,v_to_u,11,1,1,,111.0,94,1,1,22
MOT17-09-FRCNN,2,11,110,u_to_v,2,11,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,2,11,110,v_to_u,11,2,1,,111.0,282,1,1,23
MOT17-09-FRCNN,3,11,110,u_to_v,3,11,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,3,11,110,v_to_u,11,3,1,,111.0,9,1,1,24
MOT17-09-FRCNN,4,11,110,u_to_v,4,11,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,4,11,110,v_to_u,11,4,1,,111.0,415,1,1,25
MOT17-09-FRCNN,5,11,110,u_to_v,5,11,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,5,11,110,v_to_u,11,5,1,,111.0,111,1,1,26
MOT17-09-FRCNN,6,11,110,u_to_v,6,11,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,6,11,110,v_to_u,11,6,1,,111.0,140,1,1,27
MOT17-09-FRCNN,9,11,110,u_to_v,9,11,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,9,11,110,v_to_u,11,9,1,,111.0,101,1,1,28
MOT17-09-FRCNN,1,3,119,u_to_v,1,3,0,no_post_boundary_handoff_frame,,0,119,119,0
MOT17-09-FRCNN,1,3,119,v_to_u,3,1,1,,120.0,85,119,119,29
MOT17-09-FRCNN,2,3,119,u_to_v,2,3,0,no_post_boundary_handoff_frame,,0,119,119,0
MOT17-09-FRCNN,2,3,119,v_to_u,3,2,1,,120.0,273,119,119,30
MOT17-09-FRCNN,3,4,119,u_to_v,3,4,1,,120.0,406,119,119,31
MOT17-09-FRCNN,3,4,119,v_to_u,4,3,0,no_post_boundary_handoff_frame,,0,119,119,0
MOT17-09-FRCNN,3,5,119,u_to_v,3,5,1,,120.0,102,119,119,32
MOT17-09-FRCNN,3,5,119,v_to_u,5,3,0,no_post_boundary_handoff_frame,,0,119,119,0
MOT17-09-FRCNN,3,6,119,u_to_v,3,6,1,,120.0,131,119,119,33
MOT17-09-FRCNN,3,6,119,v_to_u,6,3,0,no_post_boundary_handoff_frame,,0,119,119,0
MOT17-09-FRCNN,3,9,119,u_to_v,3,9,1,,120.0,92,75,75,34
MOT17-09-FRCNN,3,9,119,v_to_u,9,3,0,no_post_boundary_handoff_frame,,0,75,75,0
MOT17-09-FRCNN,1,13,168,u_to_v,1,13,0,no_post_boundary_handoff_frame,,0,31,31,0
MOT17-09-FRCNN,1,13,168,v_to_u,13,1,1,,169.0,36,31,31,35
MOT17-09-FRCNN,2,13,168,u_to_v,2,13,0,no_post_boundary_handoff_frame,,0,31,31,0
MOT17-09-FRCNN,2,13,168,v_to_u,13,2,1,,169.0,224,31,31,36
MOT17-09-FRCNN,4,13,168,u_to_v,4,13,0,no_post_boundary_handoff_frame,,0,31,31,0
MOT17-09-FRCNN,4,13,168,v_to_u,13,4,1,,169.0,357,31,31,37
MOT17-09-FRCNN,5,13,168,u_to_v,5,13,0,no_post_boundary_handoff_frame,,0,31,31,0
MOT17-09-FRCNN,5,13,168,v_to_u,13,5,1,,169.0,53,31,31,38
MOT17-09-FRCNN,6,13,168,u_to_v,6,13,0,no_post_boundary_handoff_frame,,0,31,31,0
MOT17-09-FRCNN,6,13,168,v_to_u,13,6,1,,169.0,82,31,31,39
MOT17-09-FRCNN,9,13,168,u_to_v,9,13,0,no_post_boundary_handoff_frame,,0,31,31,0
MOT17-09-FRCNN,9,13,168,v_to_u,13,9,1,,169.0,43,31,31,40
MOT17-09-FRCNN,12,13,168,u_to_v,12,13,0,no_post_boundary_handoff_frame,,0,31,31,0
MOT17-09-FRCNN,12,13,168,v_to_u,13,12,1,,169.0,224,31,31,41
MOT17-09-FRCNN,13,14,168,u_to_v,13,14,1,,169.0,172,24,24,42
MOT17-09-FRCNN,13,14,168,v_to_u,14,13,0,no_post_boundary_handoff_frame,,0,24,24,0
MOT17-09-FRCNN,13,15,168,u_to_v,13,15,1,,169.0,4,20,20,43
MOT17-09-FRCNN,13,15,168,v_to_u,15,13,0,no_post_boundary_handoff_frame,,0,20,20,0
MOT17-09-FRCNN,1,15,172,u_to_v,1,15,0,no_post_boundary_handoff_frame,,0,24,24,0
MOT17-09-FRCNN,1,15,172,v_to_u,15,1,1,,173.0,32,24,24,44
MOT17-09-FRCNN,2,15,172,u_to_v,2,15,0,no_post_boundary_handoff_frame,,0,24,24,0
MOT17-09-FRCNN,2,15,172,v_to_u,15,2,1,,173.0,220,24,24,45
MOT17-09-FRCNN,4,15,172,u_to_v,4,15,0,no_post_boundary_handoff_frame,,0,24,24,0
MOT17-09-FRCNN,4,15,172,v_to_u,15,4,1,,173.0,353,24,24,46
MOT17-09-FRCNN,5,15,172,u_to_v,5,15,0,no_post_boundary_handoff_frame,,0,24,24,0
MOT17-09-FRCNN,5,15,172,v_to_u,15,5,1,,173.0,49,24,24,47
MOT17-09-FRCNN,6,15,172,u_to_v,6,15,0,no_post_boundary_handoff_frame,,0,24,24,0
MOT17-09-FRCNN,6,15,172,v_to_u,15,6,1,,173.0,78,24,24,48
MOT17-09-FRCNN,9,15,172,u_to_v,9,15,0,no_post_boundary_handoff_frame,,0,24,24,0
MOT17-09-FRCNN,9,15,172,v_to_u,15,9,1,,173.0,39,24,24,49
MOT17-09-FRCNN,12,15,172,u_to_v,12,15,0,no_post_boundary_handoff_frame,,0,24,24,0
MOT17-09-FRCNN,12,15,172,v_to_u,15,12,1,,173.0,220,24,24,50
MOT17-09-FRCNN,14,15,172,u_to_v,14,15,0,no_post_boundary_handoff_frame,,0,24,24,0
MOT17-09-FRCNN,14,15,172,v_to_u,15,14,1,,173.0,168,24,24,51
MOT17-09-FRCNN,15,16,172,u_to_v,15,16,1,,173.0,165,4,4,52
MOT17-09-FRCNN,15,16,172,v_to_u,16,15,0,no_post_boundary_handoff_frame,,0,4,4,0
MOT17-09-FRCNN,15,17,172,u_to_v,15,17,1,,173.0,210,3,3,53
MOT17-09-FRCNN,15,17,172,v_to_u,17,15,0,no_post_boundary_handoff_frame,,0,3,3,0
MOT17-09-FRCNN,1,19,198,u_to_v,1,19,0,no_post_boundary_handoff_frame,,0,12,12,0
MOT17-09-FRCNN,1,19,198,v_to_u,19,1,1,,199.0,6,12,12,54
MOT17-09-FRCNN,2,19,198,u_to_v,2,19,0,no_post_boundary_handoff_frame,,0,12,12,0
MOT17-09-FRCNN,2,19,198,v_to_u,19,2,1,,199.0,194,12,12,55
MOT17-09-FRCNN,4,19,198,u_to_v,4,19,0,no_post_boundary_handoff_frame,,0,12,12,0
MOT17-09-FRCNN,4,19,198,v_to_u,19,4,1,,199.0,327,12,12,56
MOT17-09-FRCNN,5,19,198,u_to_v,5,19,0,no_post_boundary_handoff_frame,,0,12,12,0
MOT17-09-FRCNN,5,19,198,v_to_u,19,5,1,,199.0,23,12,12,57
MOT17-09-FRCNN,6,19,198,u_to_v,6,19,0,no_post_boundary_handoff_frame,,0,12,12,0
MOT17-09-FRCNN,6,19,198,v_to_u,19,6,1,,199.0,52,12,12,58
MOT17-09-FRCNN,9,19,198,u_to_v,9,19,0,no_post_boundary_handoff_frame,,0,12,12,0
MOT17-09-FRCNN,9,19,198,v_to_u,19,9,1,,199.0,13,12,12,59
MOT17-09-FRCNN,12,19,198,u_to_v,12,19,0,no_post_boundary_handoff_frame,,0,12,12,0
MOT17-09-FRCNN,12,19,198,v_to_u,19,12,1,,199.0,194,12,12,60
MOT17-09-FRCNN,14,19,198,u_to_v,14,19,0,no_post_boundary_handoff_frame,,0,12,12,0
MOT17-09-FRCNN,14,19,198,v_to_u,19,14,1,,199.0,142,12,12,61
MOT17-09-FRCNN,16,19,198,u_to_v,16,19,0,no_post_boundary_handoff_frame,,0,12,12,0
MOT17-09-FRCNN,16,19,198,v_to_u,19,16,1,,199.0,139,12,12,62
MOT17-09-FRCNN,17,19,198,u_to_v,17,19,0,no_post_boundary_handoff_frame,,0,12,12,0
MOT17-09-FRCNN,17,19,198,v_to_u,19,17,1,,199.0,184,12,12,63
MOT17-09-FRCNN,18,19,198,u_to_v,18,19,0,no_post_boundary_handoff_frame,,0,12,12,0
MOT17-09-FRCNN,18,19,198,v_to_u,19,18,1,,199.0,203,12,12,64
MOT17-09-FRCNN,19,20,198,u_to_v,19,20,1,,199.0,327,1,1,65
MOT17-09-FRCNN,19,20,198,v_to_u,20,19,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,1,2,204,u_to_v,1,2,1,,205.0,188,204,204,66
MOT17-09-FRCNN,1,2,204,v_to_u,2,1,0,no_post_boundary_handoff_frame,,0,204,204,0
MOT17-09-FRCNN,1,4,204,u_to_v,1,4,1,,205.0,321,204,204,67
MOT17-09-FRCNN,1,4,204,v_to_u,4,1,0,no_post_boundary_handoff_frame,,0,204,204,0
MOT17-09-FRCNN,1,5,204,u_to_v,1,5,1,,205.0,17,204,204,68
MOT17-09-FRCNN,1,5,204,v_to_u,5,1,0,no_post_boundary_handoff_frame,,0,204,204,0
MOT17-09-FRCNN,1,6,204,u_to_v,1,6,1,,205.0,46,204,204,69
MOT17-09-FRCNN,1,6,204,v_to_u,6,1,0,no_post_boundary_handoff_frame,,0,204,204,0
MOT17-09-FRCNN,1,9,204,u_to_v,1,9,1,,205.0,7,160,160,70
MOT17-09-FRCNN,1,9,204,v_to_u,9,1,0,no_post_boundary_handoff_frame,,0,160,160,0
MOT17-09-FRCNN,1,12,204,u_to_v,1,12,1,,205.0,188,68,68,71
MOT17-09-FRCNN,1,12,204,v_to_u,12,1,0,no_post_boundary_handoff_frame,,0,68,68,0
MOT17-09-FRCNN,1,14,204,u_to_v,1,14,1,,205.0,136,60,60,72
MOT17-09-FRCNN,1,14,204,v_to_u,14,1,0,no_post_boundary_handoff_frame,,0,60,60,0
MOT17-09-FRCNN,1,16,204,u_to_v,1,16,1,,205.0,133,36,36,73
MOT17-09-FRCNN,1,16,204,v_to_u,16,1,0,no_post_boundary_handoff_frame,,0,36,36,0
MOT17-09-FRCNN,1,17,204,u_to_v,1,17,1,,205.0,178,35,35,74
MOT17-09-FRCNN,1,17,204,v_to_u,17,1,0,no_post_boundary_handoff_frame,,0,35,35,0
MOT17-09-FRCNN,1,18,204,u_to_v,1,18,1,,205.0,197,24,24,75
MOT17-09-FRCNN,1,18,204,v_to_u,18,1,0,no_post_boundary_handoff_frame,,0,24,24,0
MOT17-09-FRCNN,1,20,204,u_to_v,1,20,1,,205.0,321,7,7,76
MOT17-09-FRCNN,1,20,204,v_to_u,20,1,0,no_post_boundary_handoff_frame,,0,7,7,0
MOT17-09-FRCNN,2,9,211,u_to_v,2,9,0,no_post_boundary_handoff_frame,,0,167,167,0
MOT17-09-FRCNN,2,9,211,v_to_u,9,2,1,,212.0,181,167,167,77
MOT17-09-FRCNN,4,9,211,u_to_v,4,9,0,no_post_boundary_handoff_frame,,0,167,167,0
MOT17-09-FRCNN,4,9,211,v_to_u,9,4,1,,212.0,314,167,167,78
MOT17-09-FRCNN,5,9,211,u_to_v,5,9,0,no_post_boundary_handoff_frame,,0,167,167,0
MOT17-09-FRCNN,5,9,211,v_to_u,9,5,1,,212.0,10,167,167,79
MOT17-09-FRCNN,6,9,211,u_to_v,6,9,0,no_post_boundary_handoff_frame,,0,167,167,0
MOT17-09-FRCNN,6,9,211,v_to_u,9,6,1,,212.0,39,167,167,80
MOT17-09-FRCNN,9,12,211,u_to_v,9,12,1,,212.0,181,75,75,81
MOT17-09-FRCNN,9,12,211,v_to_u,12,9,0,no_post_boundary_handoff_frame,,0,75,75,0
MOT17-09-FRCNN,9,14,211,u_to_v,9,14,1,,212.0,129,67,67,82
MOT17-09-FRCNN,9,14,211,v_to_u,14,9,0,no_post_boundary_handoff_frame,,0,67,67,0
MOT17-09-FRCNN,9,16,211,u_to_v,9,16,1,,212.0,126,43,43,83
MOT17-09-FRCNN,9,16,211,v_to_u,16,9,0,no_post_boundary_handoff_frame,,0,43,43,0
MOT17-09-FRCNN,9,17,211,u_to_v,9,17,1,,212.0,171,42,42,84
MOT17-09-FRCNN,9,17,211,v_to_u,17,9,0,no_post_boundary_handoff_frame,,0,42,42,0
MOT17-09-FRCNN,9,18,211,u_to_v,9,18,1,,212.0,190,31,31,85
MOT17-09-FRCNN,9,18,211,v_to_u,18,9,0,no_post_boundary_handoff_frame,,0,31,31,0
MOT17-09-FRCNN,9,20,211,u_to_v,9,20,1,,212.0,314,14,14,86
MOT17-09-FRCNN,9,20,211,v_to_u,20,9,0,no_post_boundary_handoff_frame,,0,14,14,0
MOT17-09-FRCNN,9,21,211,u_to_v,9,21,1,,212.0,5,4,4,87
MOT17-09-FRCNN,9,21,211,v_to_u,21,9,0,no_post_boundary_handoff_frame,,0,4,4,0
MOT17-09-FRCNN,2,21,216,u_to_v,2,21,0,no_post_boundary_handoff_frame,,0,9,9,0
MOT17-09-FRCNN,2,21,216,v_to_u,21,2,1,,217.0,176,9,9,88
MOT17-09-FRCNN,4,21,216,u_to_v,4,21,0,no_post_boundary_handoff_frame,,0,9,9,0
MOT17-09-FRCNN,4,21,216,v_to_u,21,4,1,,217.0,309,9,9,89
MOT17-09-FRCNN,5,21,216,u_to_v,5,21,0,no_post_boundary_handoff_frame,,0,9,9,0
MOT17-09-FRCNN,5,21,216,v_to_u,21,5,1,,217.0,5,9,9,90
MOT17-09-FRCNN,6,21,216,u_to_v,6,21,0,no_post_boundary_handoff_frame,,0,9,9,0
MOT17-09-FRCNN,6,21,216,v_to_u,21,6,1,,217.0,34,9,9,91
MOT17-09-FRCNN,12,21,216,u_to_v,12,21,0,no_post_boundary_handoff_frame,,0,9,9,0
MOT17-09-FRCNN,12,21,216,v_to_u,21,12,1,,217.0,176,9,9,92
MOT17-09-FRCNN,14,21,216,u_to_v,14,21,0,no_post_boundary_handoff_frame,,0,9,9,0
MOT17-09-FRCNN,14,21,216,v_to_u,21,14,1,,217.0,124,9,9,93
MOT17-09-FRCNN,16,21,216,u_to_v,16,21,0,no_post_boundary_handoff_frame,,0,9,9,0
MOT17-09-FRCNN,16,21,216,v_to_u,21,16,1,,217.0,121,9,9,94
MOT17-09-FRCNN,17,21,216,u_to_v,17,21,0,no_post_boundary_handoff_frame,,0,9,9,0
MOT17-09-FRCNN,17,21,216,v_to_u,21,17,1,,217.0,166,9,9,95
MOT17-09-FRCNN,18,21,216,u_to_v,18,21,0,no_post_boundary_handoff_frame,,0,9,9,0
MOT17-09-FRCNN,18,21,216,v_to_u,21,18,1,,217.0,185,9,9,96
MOT17-09-FRCNN,20,21,216,u_to_v,20,21,0,no_post_boundary_handoff_frame,,0,9,9,0
MOT17-09-FRCNN,20,21,216,v_to_u,21,20,1,,217.0,309,9,9,97
MOT17-09-FRCNN,21,22,216,u_to_v,21,22,1,,217.0,133,1,1,98
MOT17-09-FRCNN,21,22,216,v_to_u,22,21,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,2,5,221,u_to_v,2,5,0,no_post_boundary_handoff_frame,,0,221,221,0
MOT17-09-FRCNN,2,5,221,v_to_u,5,2,1,,222.0,171,221,221,99
MOT17-09-FRCNN,4,5,221,u_to_v,4,5,0,no_post_boundary_handoff_frame,,0,221,221,0
MOT17-09-FRCNN,4,5,221,v_to_u,5,4,1,,222.0,304,221,221,100
MOT17-09-FRCNN,5,6,221,u_to_v,5,6,1,,222.0,29,221,221,101
MOT17-09-FRCNN,5,6,221,v_to_u,6,5,0,no_post_boundary_handoff_frame,,0,221,221,0
MOT17-09-FRCNN,5,12,221,u_to_v,5,12,1,,222.0,171,85,85,102
MOT17-09-FRCNN,5,12,221,v_to_u,12,5,0,no_post_boundary_handoff_frame,,0,85,85,0
MOT17-09-FRCNN,5,14,221,u_to_v,5,14,1,,222.0,119,77,77,103
MOT17-09-FRCNN,5,14,221,v_to_u,14,5,0,no_post_boundary_handoff_frame,,0,77,77,0
MOT17-09-FRCNN,5,16,221,u_to_v,5,16,1,,222.0,116,53,53,104
MOT17-09-FRCNN,5,16,221,v_to_u,16,5,0,no_post_boundary_handoff_frame,,0,53,53,0
MOT17-09-FRCNN,5,17,221,u_to_v,5,17,1,,222.0,161,52,52,105
MOT17-09-FRCNN,5,17,221,v_to_u,17,5,0,no_post_boundary_handoff_frame,,0,52,52,0
MOT17-09-FRCNN,5,18,221,u_to_v,5,18,1,,222.0,180,41,41,106
MOT17-09-FRCNN,5,18,221,v_to_u,18,5,0,no_post_boundary_handoff_frame,,0,41,41,0
MOT17-09-FRCNN,5,20,221,u_to_v,5,20,1,,222.0,304,24,24,107
MOT17-09-FRCNN,5,20,221,v_to_u,20,5,0,no_post_boundary_handoff_frame,,0,24,24,0
MOT17-09-FRCNN,5,22,221,u_to_v,5,22,1,,222.0,128,6,6,108
MOT17-09-FRCNN,5,22,221,v_to_u,22,5,0,no_post_boundary_handoff_frame,,0,6,6,0
MOT17-09-FRCNN,5,23,221,u_to_v,5,23,1,,222.0,266,3,3,109
MOT17-09-FRCNN,5,23,221,v_to_u,23,5,0,no_post_boundary_handoff_frame,,0,3,3,0
MOT17-09-FRCNN,5,24,221,u_to_v,5,24,1,,222.0,53,1,1,110
MOT17-09-FRCNN,5,24,221,v_to_u,24,5,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,2,26,247,u_to_v,2,26,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,2,26,247,v_to_u,26,2,1,,248.0,145,1,1,111
MOT17-09-FRCNN,4,26,247,u_to_v,4,26,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,4,26,247,v_to_u,26,4,1,,248.0,278,1,1,112
MOT17-09-FRCNN,6,26,247,u_to_v,6,26,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,6,26,247,v_to_u,26,6,1,,248.0,3,1,1,113
MOT17-09-FRCNN,12,26,247,u_to_v,12,26,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,12,26,247,v_to_u,26,12,1,,248.0,145,1,1,114
MOT17-09-FRCNN,14,26,247,u_to_v,14,26,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,14,26,247,v_to_u,26,14,1,,248.0,93,1,1,115
MOT17-09-FRCNN,16,26,247,u_to_v,16,26,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,16,26,247,v_to_u,26,16,1,,248.0,90,1,1,116
MOT17-09-FRCNN,17,26,247,u_to_v,17,26,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,17,26,247,v_to_u,26,17,1,,248.0,135,1,1,117
MOT17-09-FRCNN,18,26,247,u_to_v,18,26,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,18,26,247,v_to_u,26,18,1,,248.0,154,1,1,118
MOT17-09-FRCNN,20,26,247,u_to_v,20,26,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,20,26,247,v_to_u,26,20,1,,248.0,278,1,1,119
MOT17-09-FRCNN,22,26,247,u_to_v,22,26,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,22,26,247,v_to_u,26,22,1,,248.0,102,1,1,120
MOT17-09-FRCNN,23,26,247,u_to_v,23,26,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,23,26,247,v_to_u,26,23,1,,248.0,240,1,1,121
MOT17-09-FRCNN,24,26,247,u_to_v,24,26,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,24,26,247,v_to_u,26,24,1,,248.0,27,1,1,122
MOT17-09-FRCNN,25,26,247,u_to_v,25,26,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,25,26,247,v_to_u,26,25,1,,248.0,38,1,1,123
MOT17-09-FRCNN,2,6,250,u_to_v,2,6,0,no_post_boundary_handoff_frame,,0,250,250,0
MOT17-09-FRCNN,2,6,250,v_to_u,6,2,1,,251.0,142,250,250,124
MOT17-09-FRCNN,4,6,250,u_to_v,4,6,0,no_post_boundary_handoff_frame,,0,250,250,0
MOT17-09-FRCNN,4,6,250,v_to_u,6,4,1,,251.0,275,250,250,125
MOT17-09-FRCNN,6,12,250,u_to_v,6,12,1,,251.0,142,114,114,126
MOT17-09-FRCNN,6,12,250,v_to_u,12,6,0,no_post_boundary_handoff_frame,,0,114,114,0
MOT17-09-FRCNN,6,14,250,u_to_v,6,14,1,,251.0,90,106,106,127
MOT17-09-FRCNN,6,14,250,v_to_u,14,6,0,no_post_boundary_handoff_frame,,0,106,106,0
MOT17-09-FRCNN,6,16,250,u_to_v,6,16,1,,251.0,87,82,82,128
MOT17-09-FRCNN,6,16,250,v_to_u,16,6,0,no_post_boundary_handoff_frame,,0,82,82,0
MOT17-09-FRCNN,6,17,250,u_to_v,6,17,1,,251.0,132,81,81,129
MOT17-09-FRCNN,6,17,250,v_to_u,17,6,0,no_post_boundary_handoff_frame,,0,81,81,0
MOT17-09-FRCNN,6,18,250,u_to_v,6,18,1,,251.0,151,70,70,130
MOT17-09-FRCNN,6,18,250,v_to_u,18,6,0,no_post_boundary_handoff_frame,,0,70,70,0
MOT17-09-FRCNN,6,20,250,u_to_v,6,20,1,,251.0,275,53,53,131
MOT17-09-FRCNN,6,20,250,v_to_u,20,6,0,no_post_boundary_handoff_frame,,0,53,53,0
MOT17-09-FRCNN,6,22,250,u_to_v,6,22,1,,251.0,99,35,35,132
MOT17-09-FRCNN,6,22,250,v_to_u,22,6,0,no_post_boundary_handoff_frame,,0,35,35,0
MOT17-09-FRCNN,6,23,250,u_to_v,6,23,1,,251.0,237,32,32,133
MOT17-09-FRCNN,6,23,250,v_to_u,23,6,0,no_post_boundary_handoff_frame,,0,32,32,0
MOT17-09-FRCNN,6,24,250,u_to_v,6,24,1,,251.0,24,30,30,134
MOT17-09-FRCNN,6,24,250,v_to_u,24,6,0,no_post_boundary_handoff_frame,,0,30,30,0
MOT17-09-FRCNN,6,25,250,u_to_v,6,25,1,,251.0,35,28,28,135
MOT17-09-FRCNN,6,25,250,v_to_u,25,6,0,no_post_boundary_handoff_frame,,0,28,28,0
MOT17-09-FRCNN,2,27,255,u_to_v,2,27,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,2,27,255,v_to_u,27,2,1,,256.0,137,1,1,136
MOT17-09-FRCNN,4,27,255,u_to_v,4,27,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,4,27,255,v_to_u,27,4,1,,256.0,270,1,1,137
MOT17-09-FRCNN,12,27,255,u_to_v,12,27,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,12,27,255,v_to_u,27,12,1,,256.0,137,1,1,138
MOT17-09-FRCNN,14,27,255,u_to_v,14,27,0,no_post_boundary_handoff_frame,,0,1,1,0
MOT17-09-FRCNN,14,27,255,v_to_u,27,14,1,,256.0,85,1,1,139
MOT17-09-FRCNN,16,27,255,u_to_v,16,27,0,no_post_boundary_handoff_frame,,0,1,1,0
