edited_path,edited_sha256,geometry_rows,changed_rows,receiver_anchor,receiver_anchor_count,receiver_anchor_counts,donor_anchor,name,seq
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0063_20_38_f137_v_to_u/track_results/MOT20-01.txt,e6efa25e5003d4af01414926ff6aa6ee48885b0040e0a17c987ae47c482b986d,19372,170,20,1,"{""20"": 170}",38,mot20_01_r0063_20_38_f137_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0064_24_26_f252_u_to_v/track_results/MOT20-01.txt,72116abfc8148d417df82d24732be591d78b0d0501589527d78a75dda4a45ef2,19372,156,26,1,"{""26"": 156}",24,mot20_01_r0064_24_26_f252_u_to_v,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0066_24_57_f213_v_to_u/track_results/MOT20-01.txt,405679cd4525a47a8e380b5837d67d2b526e649bbd60194f605e57cb48b2ab44,19372,41,24,1,"{""24"": 41}",57,mot20_01_r0066_24_57_f213_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0069_10_17_f130_v_to_u/track_results/MOT20-01.txt,f33b463808ee0867e01c2531b8169d60e68b7cbe30ca6bcb798045e25e2b5354,19372,82,10,1,"{""10"": 82}",17,mot20_01_r0069_10_17_f130_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0070_20_29_f133_v_to_u/track_results/MOT20-01.txt,6977b03ba89c31dc9d058c93bf12289ed3170d11152c9d2ee80bee7d404eb73c,19372,90,20,1,"{""20"": 90}",29,mot20_01_r0070_20_29_f133_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0071_13_17_f282_v_to_u/track_results/MOT20-01.txt,8b45b19311c196894f5731cd7986249fdefd5ae559dadcc26dadfc81c924cf64,19372,82,13,1,"{""13"": 82}",17,mot20_01_r0071_13_17_f282_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0072_8_15_f30_v_to_u/track_results/MOT20-01.txt,151e0024dc5e53cb8804dae55f48dcac8c5e02b202387204bb2e84fbe361eb39,19372,124,8,1,"{""8"": 124}",15,mot20_01_r0072_8_15_f30_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0074_17_29_f181_v_to_u/track_results/MOT20-01.txt,fb5f48293f74ffb1d42af0d5fef5279175237ac28d640905f9e14cead8bc79ba,19372,8,17,1,"{""17"": 8}",29,mot20_01_r0074_17_29_f181_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0076_18_20_f83_u_to_v/track_results/MOT20-01.txt,61128b8a597b5f168bbcb50e2084f317afca61743f335c7eb9de8545d2adf317,19372,184,20,1,"{""20"": 184}",18,mot20_01_r0076_18_20_f83_u_to_v,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0077_38_67_f245_u_to_v/track_results/MOT20-01.txt,f8061bb8a528f7a5ab54f897c14689a29172789f7bd6a52bfd429bb4273b6f44,19372,170,67,1,"{""67"": 170}",38,mot20_01_r0077_38_67_f245_u_to_v,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0078_30_47_f320_u_to_v/track_results/MOT20-01.txt,2c9bbacf858fa7f3a6901f1cc367859158eda52656999563c3233f8fa79f431d,19372,78,47,1,"{""47"": 78}",30,mot20_01_r0078_30_47_f320_u_to_v,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0079_24_26_f176_u_to_v/track_results/MOT20-01.txt,72116abfc8148d417df82d24732be591d78b0d0501589527d78a75dda4a45ef2,19372,156,26,1,"{""26"": 156}",24,mot20_01_r0079_24_26_f176_u_to_v,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0081_17_29_f35_v_to_u/track_results/MOT20-01.txt,fb5f48293f74ffb1d42af0d5fef5279175237ac28d640905f9e14cead8bc79ba,19372,8,17,1,"{""17"": 8}",29,mot20_01_r0081_17_29_f35_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0082_17_29_f315_v_to_u/track_results/MOT20-01.txt,fb5f48293f74ffb1d42af0d5fef5279175237ac28d640905f9e14cead8bc79ba,19372,8,17,1,"{""17"": 8}",29,mot20_01_r0082_17_29_f315_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0083_21_76_f306_u_to_v/track_results/MOT20-01.txt,9d6b4bf5402f33da2d016fce6db4461929ffa8b998dda48a5cfee2ede91cf991,19372,107,76,1,"{""76"": 107}",21,mot20_01_r0083_21_76_f306_u_to_v,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0084_17_29_f119_v_to_u/track_results/MOT20-01.txt,fb5f48293f74ffb1d42af0d5fef5279175237ac28d640905f9e14cead8bc79ba,19372,8,17,1,"{""17"": 8}",29,mot20_01_r0084_17_29_f119_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0085_17_28_f343_u_to_v/track_results/MOT20-01.txt,0f75b759f612cf39e46066b174aa09a071a09dd5ef0c368647efb3e6e9310205,19372,82,28,1,"{""28"": 82}",17,mot20_01_r0085_17_28_f343_u_to_v,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0086_17_29_f40_v_to_u/track_results/MOT20-01.txt,fb5f48293f74ffb1d42af0d5fef5279175237ac28d640905f9e14cead8bc79ba,19372,8,17,1,"{""17"": 8}",29,mot20_01_r0086_17_29_f40_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0087_34_38_f195_v_to_u/track_results/MOT20-01.txt,95507ce88a2672c11638516c94b7ecb3e65e8a1747b97ed404d785842129be98,19372,11,34,1,"{""34"": 11}",38,mot20_01_r0087_34_38_f195_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0088_34_38_f226_v_to_u/track_results/MOT20-01.txt,95507ce88a2672c11638516c94b7ecb3e65e8a1747b97ed404d785842129be98,19372,11,34,1,"{""34"": 11}",38,mot20_01_r0088_34_38_f226_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0090_17_29_f276_v_to_u/track_results/MOT20-01.txt,fb5f48293f74ffb1d42af0d5fef5279175237ac28d640905f9e14cead8bc79ba,19372,8,17,1,"{""17"": 8}",29,mot20_01_r0090_17_29_f276_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0093_62_95_f368_v_to_u/track_results/MOT20-01.txt,6889a393993a93e04237a8b59bd36f4e73d3c0d761fb81697845570bfac1806e,19372,8,62,1,"{""62"": 8}",95,mot20_01_r0093_62_95_f368_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0094_10_12_f169_v_to_u/track_results/MOT20-01.txt,94325b54da31ede096b56e1058be9f9917685f4fbec3ae52fec5cdab06343e7c,19372,191,10,1,"{""10"": 191}",12,mot20_01_r0094_10_12_f169_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0096_12_53_f231_u_to_v/track_results/MOT20-01.txt,90b2cebb4075ed1aea46518d8a60ab115967ac5cfd931bda1dc430bcbf3ac56b,19372,191,53,1,"{""53"": 191}",12,mot20_01_r0096_12_53_f231_u_to_v,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0097_5_16_f206_v_to_u/track_results/MOT20-01.txt,46024fddb55dbf247efb3dc9f4fd5dfe1b4e3af3ef9c287eec06d0d415511c60,19372,137,5,1,"{""5"": 137}",16,mot20_01_r0097_5_16_f206_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0098_34_38_f145_v_to_u/track_results/MOT20-01.txt,95507ce88a2672c11638516c94b7ecb3e65e8a1747b97ed404d785842129be98,19372,11,34,1,"{""34"": 11}",38,mot20_01_r0098_34_38_f145_v_to_u,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0099_17_20_f137_u_to_v/track_results/MOT20-01.txt,17069b459912cd495ea4bb845e61afd2ae896abeab3a2fe5a49c3a1e7f144a9b,19372,82,20,1,"{""20"": 82}",17,mot20_01_r0099_17_20_f137_u_to_v,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-01/mot20_01_r0100_24_26_f244_u_to_v/track_results/MOT20-01.txt,72116abfc8148d417df82d24732be591d78b0d0501589527d78a75dda4a45ef2,19372,156,26,1,"{""26"": 156}",24,mot20_01_r0100_24_26_f244_u_to_v,MOT20-01
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0021_36_60_f175_u_to_v/track_results/MOT20-02.txt,8cb675972e02884b24ad6946abb765fe3eff569ec22d0c1ac6f02426f0ae73f8,151152,7,60,1,"{""60"": 7}",36,mot20_02_r0021_36_60_f175_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0022_223_371_f2107_u_to_v/track_results/MOT20-02.txt,39bfabdbd79fe5802e54c4176b898dfbeeb76897c07727c33508f457a4b896a3,151152,39,371,1,"{""371"": 39}",223,mot20_02_r0022_223_371_f2107_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0023_289_298_f1930_v_to_u/track_results/MOT20-02.txt,d37942c5a59ba749a5593bae20ee106348fc41d89ac38cab61a7acd932d6ae4a,151152,132,289,1,"{""289"": 132}",298,mot20_02_r0023_289_298_f1930_v_to_u,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0024_267_270_f1932_u_to_v/track_results/MOT20-02.txt,d92cd2073780bfbbadc3a8580638ff012ba84227fedc0ac85b5d958b79be427b,151152,52,270,1,"{""270"": 52}",267,mot20_02_r0024_267_270_f1932_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0025_347_361_f1890_v_to_u/track_results/MOT20-02.txt,114b135644ed73913b4e9b67a6e4baf27a5ad513f70d29e0c393541869128eae,151152,159,347,1,"{""347"": 159}",361,mot20_02_r0025_347_361_f1890_v_to_u,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0026_427_445_f2171_u_to_v/track_results/MOT20-02.txt,fea05e7772fe8cc46d4e33c9e6dd1657c014b289e3fcda4a71f34509eb294c9f,151152,140,445,1,"{""445"": 140}",427,mot20_02_r0026_427_445_f2171_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0027_233_261_f1599_u_to_v/track_results/MOT20-02.txt,27e0e419c9e853a2c80ebb92a40ccd79e7693664e8aa513f3e192a420d4a034b,151152,89,261,1,"{""261"": 89}",233,mot20_02_r0027_233_261_f1599_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0028_234_262_f1709_u_to_v/track_results/MOT20-02.txt,7871e41defa5a7c75f4b9bde248028614f568479d8e7b92345dbf1427d2280bb,151152,524,262,1,"{""262"": 524}",234,mot20_02_r0028_234_262_f1709_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0029_216_249_f1612_u_to_v/track_results/MOT20-02.txt,72bddd758572aa9eb5380bbb8b88735859bb0f798a89f6d580beec2084ec9eb0,151152,288,249,1,"{""249"": 288}",216,mot20_02_r0029_216_249_f1612_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0030_223_371_f2213_u_to_v/track_results/MOT20-02.txt,39bfabdbd79fe5802e54c4176b898dfbeeb76897c07727c33508f457a4b896a3,151152,39,371,1,"{""371"": 39}",223,mot20_02_r0030_223_371_f2213_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0031_129_130_f1047_v_to_u/track_results/MOT20-02.txt,8c2e9b0e967bd1c7acdd14538d1645d54031a941f7518d82860e4e9bb172cd8f,151152,6,129,1,"{""129"": 6}",130,mot20_02_r0031_129_130_f1047_v_to_u,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0032_385_398_f2009_v_to_u/track_results/MOT20-02.txt,4cfeeaff75a8bfa7c28c367b86e17604391b0874383e95e549eec88e5f5695cc,151152,349,385,1,"{""385"": 349}",398,mot20_02_r0032_385_398_f2009_v_to_u,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0033_223_371_f2062_u_to_v/track_results/MOT20-02.txt,39bfabdbd79fe5802e54c4176b898dfbeeb76897c07727c33508f457a4b896a3,151152,39,371,1,"{""371"": 39}",223,mot20_02_r0033_223_371_f2062_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0034_310_453_f2119_u_to_v/track_results/MOT20-02.txt,e020f69462c6b02c4a462d5aa3c34a743e00365fb23ee654375c04b889042c44,151152,68,453,1,"{""453"": 68}",440,mot20_02_r0034_310_453_f2119_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0035_238_270_f2010_u_to_v/track_results/MOT20-02.txt,110b9d6dfa508910f667761a0ab53816dabcd9ce3a620851c8fe7e48fa4dd458,151152,55,270,1,"{""270"": 55}",238,mot20_02_r0035_238_270_f2010_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0036_281_303_f1871_u_to_v/track_results/MOT20-02.txt,5f32f03d3bdac61bf11c701eee8e697318da3f06207824cfd9e37a33205958e4,151152,295,303,1,"{""303"": 295}",281,mot20_02_r0036_281_303_f1871_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0037_140_154_f984_v_to_u/track_results/MOT20-02.txt,7ebaba4aad093902ff2ab21d5e50a8b870343b0847652313eb86ccf1a1d4a228,151152,601,140,1,"{""140"": 601}",154,mot20_02_r0037_140_154_f984_v_to_u,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0038_445_451_f2102_u_to_v/track_results/MOT20-02.txt,e384d9acd7e0a7b038fea9bc4ede16368540cd967da259522c607299dbac79e0,151152,10,451,1,"{""451"": 10}",445,mot20_02_r0038_445_451_f2102_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0039_311_337_f1961_u_to_v/track_results/MOT20-02.txt,6daae90fb12fadd159d942bb18a58ade0732ac4fe5a81a95075275df5f21653c,151152,348,337,1,"{""337"": 348}",311,mot20_02_r0039_311_337_f1961_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0041_238_246_f1478_v_to_u/track_results/MOT20-02.txt,43747352d463ac852c4c7304e1376bf901d7d6b27f5a1f8855547150cc76f3b3,151152,664,238,1,"{""238"": 664}",246,mot20_02_r0041_238_246_f1478_v_to_u,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0042_140_190_f1451_u_to_v/track_results/MOT20-02.txt,fb5d484c24e045762d5aaa57427a8faac2a81ff61f5b909810b236f104340437,151152,350,190,1,"{""190"": 350}",140,mot20_02_r0042_140_190_f1451_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0043_159_168_f1054_u_to_v/track_results/MOT20-02.txt,14b7fec513c1b207860fdd8c0cdcc0fd7dc42d38cdd8e53ae4df97a007a6fe61,151152,52,168,1,"{""168"": 52}",159,mot20_02_r0043_159_168_f1054_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0044_325_395_f2030_u_to_v/track_results/MOT20-02.txt,a81dbdb4dcd7a87559ffea3d441fa9b47d1cf83deafac1a215816e71f0179402,151152,281,395,1,"{""395"": 281}",325,mot20_02_r0044_325_395_f2030_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0045_477_485_f2221_v_to_u/track_results/MOT20-02.txt,fba21bbca51bd2edbc98f470c69c9d4d13b1f3affd2627ebbc8b4712b7cf3de5,151152,542,477,1,"{""477"": 542}",485,mot20_02_r0045_477_485_f2221_v_to_u,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0046_310_392_f1992_u_to_v/track_results/MOT20-02.txt,0245f75aa5f21fc48190dd45bb8e86474e80db4403294f737e05946d9064d8ce,151152,62,392,1,"{""392"": 62}",310,mot20_02_r0046_310_392_f1992_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0048_233_249_f1540_u_to_v/track_results/MOT20-02.txt,3d9d178bf7a74fb7595eafed0381e0a60c42b5f1af33f4647e6af6c08527ac30,151152,374,249,1,"{""249"": 374}",233,mot20_02_r0048_233_249_f1540_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0049_180_232_f1409_v_to_u/track_results/MOT20-02.txt,31f94a27fd19d9769e99d049c3b1fe718cf6c3ccd7a0d64cbbbac7a21023b37c,151152,1,180,1,"{""180"": 1}",232,mot20_02_r0049_180_232_f1409_v_to_u,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0050_283_294_f1713_v_to_u/track_results/MOT20-02.txt,7c232eef4d2d07bf73abe5f9b02eca33dea4a9ed33e0b4710a633a7d5fce5cf1,151152,425,283,1,"{""283"": 425}",294,mot20_02_r0050_283_294_f1713_v_to_u,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0052_391_427_f2093_v_to_u/track_results/MOT20-02.txt,d781547399790efbe83e8e8584277d35f143d6d7116ddd0d8ba1ca2d3af9c947,151152,44,391,1,"{""391"": 44}",427,mot20_02_r0052_391_427_f2093_v_to_u,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0053_35_40_f57_u_to_v/track_results/MOT20-02.txt,3757411f9f9226699f17170d7cb6ad1ce1ae81d872e233e1f231bc3fe7ae5b11,151152,231,40,1,"{""40"": 231}",35,mot20_02_r0053_35_40_f57_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0056_214_246_f1536_v_to_u/track_results/MOT20-02.txt,a1f4ccad7c612eac7e376086ec63feff156d5c6276d5f39d13f13877e05d6a2b,151152,298,214,1,"{""214"": 298}",246,mot20_02_r0056_214_246_f1536_v_to_u,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0057_150_169_f1223_u_to_v/track_results/MOT20-02.txt,725c7d6950d7d93e62e859c7db177a81814f9d572b2d9e5689b4b94961092055,151152,252,169,1,"{""169"": 252}",150,mot20_02_r0057_150_169_f1223_u_to_v,MOT20-02
outputs/assocriskbench_p15_20260715/directional_handoff_utility_train_rank21_100/MOT20-02/mot20_02_r0059_91_99_f514_v_to_u/track_results/MOT20-02.txt,e3d4c9b6095c0b26413dcbe2c2d6ac1fad4a7f3c928bae6a24e536690bfc58c0,151152,206,91,1,"{""91"": 206}",99,mot20_02_r0059_91_99_f514_v_to_u,MOT20-02
