seq,u,v,boundary_frame,transaction_type,donor_raw_tid,receiver_raw_tid,accepted,reject_reason,effective_start_frame,changed_rows,pair_common_frames,pair_common_span,canonical_rank,selected_for_teacher
MOT17-02-FRCNN,5,23,40,v_to_u,23,5,1,,41.0,19,18,18,29,1
MOT17-02-FRCNN,6,23,40,u_to_v,6,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,6,23,40,v_to_u,23,6,1,,41.0,371,18,18,30,1
MOT17-02-FRCNN,7,23,40,u_to_v,7,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,7,23,40,v_to_u,23,7,1,,41.0,165,18,18,31,1
MOT17-02-FRCNN,8,23,40,u_to_v,8,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,8,23,40,v_to_u,23,8,1,,41.0,289,18,18,32,1
MOT17-02-FRCNN,9,23,40,u_to_v,9,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,9,23,40,v_to_u,23,9,1,,41.0,106,18,18,33,1
MOT17-02-FRCNN,10,23,40,u_to_v,10,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,10,23,40,v_to_u,23,10,1,,41.0,19,18,18,34,1
MOT17-02-FRCNN,11,23,40,u_to_v,11,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,11,23,40,v_to_u,23,11,1,,41.0,6,18,18,35,1
MOT17-02-FRCNN,12,23,40,u_to_v,12,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,12,23,40,v_to_u,23,12,1,,41.0,182,18,18,36,1
MOT17-02-FRCNN,13,23,40,u_to_v,13,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,13,23,40,v_to_u,23,13,1,,41.0,353,18,18,37,1
MOT17-02-FRCNN,14,23,40,u_to_v,14,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,14,23,40,v_to_u,23,14,1,,41.0,320,18,18,38,1
MOT17-02-FRCNN,15,23,40,u_to_v,15,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,15,23,40,v_to_u,23,15,1,,41.0,253,18,18,39,1
MOT17-02-FRCNN,16,23,40,u_to_v,16,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,16,23,40,v_to_u,23,16,1,,41.0,283,18,18,40,1
MOT17-02-FRCNN,17,23,40,u_to_v,17,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,17,23,40,v_to_u,23,17,1,,41.0,78,18,18,41,1
MOT17-02-FRCNN,18,23,40,u_to_v,18,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,18,23,40,v_to_u,23,18,1,,41.0,38,18,18,42,1
MOT17-02-FRCNN,19,23,40,u_to_v,19,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,19,23,40,v_to_u,23,19,1,,41.0,94,18,18,43,1
MOT17-02-FRCNN,20,23,40,u_to_v,20,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,20,23,40,v_to_u,23,20,1,,41.0,338,18,18,44,1
MOT17-02-FRCNN,21,23,40,u_to_v,21,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,21,23,40,v_to_u,23,21,1,,41.0,41,18,18,45,1
MOT17-02-FRCNN,22,23,40,u_to_v,22,23,0,no_post_boundary_handoff_frame,,0,18,18,0,0
MOT17-02-FRCNN,22,23,40,v_to_u,23,22,1,,41.0,212,18,18,46,1
MOT17-02-FRCNN,23,24,40,u_to_v,23,24,1,,41.0,560,11,11,47,1
MOT17-02-FRCNN,23,24,40,v_to_u,24,23,0,no_post_boundary_handoff_frame,,0,11,11,0,0
MOT17-02-FRCNN,23,26,40,u_to_v,23,26,1,,41.0,1,9,9,48,1
MOT17-02-FRCNN,23,26,40,v_to_u,26,23,0,no_post_boundary_handoff_frame,,0,9,9,0,0
MOT17-02-FRCNN,1,26,41,u_to_v,1,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,1,26,41,v_to_u,26,1,1,,42.0,518,10,10,49,1
MOT17-02-FRCNN,2,26,41,u_to_v,2,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,2,26,41,v_to_u,26,2,1,,42.0,184,10,10,50,1
MOT17-02-FRCNN,3,26,41,u_to_v,3,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,3,26,41,v_to_u,26,3,1,,42.0,404,10,10,51,1
MOT17-02-FRCNN,4,26,41,u_to_v,4,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,4,26,41,v_to_u,26,4,1,,42.0,290,10,10,52,1
MOT17-02-FRCNN,5,26,41,u_to_v,5,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,5,26,41,v_to_u,26,5,1,,42.0,18,10,10,53,1
MOT17-02-FRCNN,6,26,41,u_to_v,6,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,6,26,41,v_to_u,26,6,1,,42.0,370,10,10,54,1
MOT17-02-FRCNN,7,26,41,u_to_v,7,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,7,26,41,v_to_u,26,7,1,,42.0,164,10,10,55,1
MOT17-02-FRCNN,8,26,41,u_to_v,8,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,8,26,41,v_to_u,26,8,1,,42.0,288,10,10,56,1
MOT17-02-FRCNN,9,26,41,u_to_v,9,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,9,26,41,v_to_u,26,9,1,,42.0,105,10,10,57,1
MOT17-02-FRCNN,10,26,41,u_to_v,10,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,10,26,41,v_to_u,26,10,1,,42.0,18,10,10,58,1
MOT17-02-FRCNN,11,26,41,u_to_v,11,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,11,26,41,v_to_u,26,11,1,,42.0,5,10,10,59,1
MOT17-02-FRCNN,12,26,41,u_to_v,12,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,12,26,41,v_to_u,26,12,1,,42.0,181,10,10,60,1
MOT17-02-FRCNN,13,26,41,u_to_v,13,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,13,26,41,v_to_u,26,13,1,,42.0,352,10,10,61,1
MOT17-02-FRCNN,14,26,41,u_to_v,14,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,14,26,41,v_to_u,26,14,1,,42.0,319,10,10,62,1
MOT17-02-FRCNN,15,26,41,u_to_v,15,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,15,26,41,v_to_u,26,15,1,,42.0,252,10,10,63,1
MOT17-02-FRCNN,16,26,41,u_to_v,16,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,16,26,41,v_to_u,26,16,1,,42.0,282,10,10,64,1
MOT17-02-FRCNN,17,26,41,u_to_v,17,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,17,26,41,v_to_u,26,17,1,,42.0,77,10,10,65,1
MOT17-02-FRCNN,18,26,41,u_to_v,18,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,18,26,41,v_to_u,26,18,1,,42.0,37,10,10,66,1
MOT17-02-FRCNN,19,26,41,u_to_v,19,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,19,26,41,v_to_u,26,19,1,,42.0,93,10,10,67,1
MOT17-02-FRCNN,20,26,41,u_to_v,20,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,20,26,41,v_to_u,26,20,1,,42.0,337,10,10,68,1
MOT17-02-FRCNN,21,26,41,u_to_v,21,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,21,26,41,v_to_u,26,21,1,,42.0,40,10,10,69,1
MOT17-02-FRCNN,22,26,41,u_to_v,22,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,22,26,41,v_to_u,26,22,1,,42.0,211,10,10,70,1
MOT17-02-FRCNN,24,26,41,u_to_v,24,26,0,no_post_boundary_handoff_frame,,0,10,10,0,0
MOT17-02-FRCNN,24,26,41,v_to_u,26,24,1,,42.0,559,10,10,71,1
MOT17-02-FRCNN,26,27,41,u_to_v,26,27,1,,42.0,230,1,1,72,1
MOT17-02-FRCNN,26,27,41,v_to_u,27,26,0,no_post_boundary_handoff_frame,,0,1,1,0,0
MOT17-02-FRCNN,1,11,46,u_to_v,1,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0
MOT17-02-FRCNN,1,11,46,v_to_u,11,1,1,,47.0,513,46,46,73,1
MOT17-02-FRCNN,2,11,46,u_to_v,2,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0
MOT17-02-FRCNN,2,11,46,v_to_u,11,2,1,,47.0,179,46,46,74,1
MOT17-02-FRCNN,3,11,46,u_to_v,3,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0
MOT17-02-FRCNN,3,11,46,v_to_u,11,3,1,,47.0,399,46,46,75,1
MOT17-02-FRCNN,4,11,46,u_to_v,4,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0
MOT17-02-FRCNN,4,11,46,v_to_u,11,4,1,,47.0,285,46,46,76,1
MOT17-02-FRCNN,5,11,46,u_to_v,5,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0
MOT17-02-FRCNN,5,11,46,v_to_u,11,5,1,,47.0,13,46,46,77,1
MOT17-02-FRCNN,6,11,46,u_to_v,6,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0
MOT17-02-FRCNN,6,11,46,v_to_u,11,6,1,,47.0,365,46,46,78,1
MOT17-02-FRCNN,7,11,46,u_to_v,7,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0
MOT17-02-FRCNN,7,11,46,v_to_u,11,7,1,,47.0,159,46,46,79,1
MOT17-02-FRCNN,8,11,46,u_to_v,8,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0
MOT17-02-FRCNN,8,11,46,v_to_u,11,8,1,,47.0,283,46,46,80,1
MOT17-02-FRCNN,9,11,46,u_to_v,9,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0
MOT17-02-FRCNN,9,11,46,v_to_u,11,9,1,,47.0,100,46,46,81,1
MOT17-02-FRCNN,10,11,46,u_to_v,10,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0
MOT17-02-FRCNN,10,11,46,v_to_u,11,10,1,,47.0,13,46,46,82,1
MOT17-02-FRCNN,11,12,46,u_to_v,11,12,1,,47.0,176,46,46,83,1
MOT17-02-FRCNN,11,12,46,v_to_u,12,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0
MOT17-02-FRCNN,11,13,46,u_to_v,11,13,1,,47.0,347,46,46,84,1
MOT17-02-FRCNN,11,13,46,v_to_u,13,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0
MOT17-02-FRCNN,11,14,46,u_to_v,11,14,1,,47.0,314,46,46,85,1
MOT17-02-FRCNN,11,14,46,v_to_u,14,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0
MOT17-02-FRCNN,11,15,46,u_to_v,11,15,1,,47.0,247,46,46,86,1
MOT17-02-FRCNN,11,15,46,v_to_u,15,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0
MOT17-02-FRCNN,11,16,46,u_to_v,11,16,1,,47.0,277,46,46,87,1
MOT17-02-FRCNN,11,16,46,v_to_u,16,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0
MOT17-02-FRCNN,11,17,46,u_to_v,11,17,1,,47.0,72,46,46,88,1
MOT17-02-FRCNN,11,17,46,v_to_u,17,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0
MOT17-02-FRCNN,11,18,46,u_to_v,11,18,1,,47.0,32,46,46,89,1
MOT17-02-FRCNN,11,18,46,v_to_u,18,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0
MOT17-02-FRCNN,11,19,46,u_to_v,11,19,1,,47.0,88,46,46,90,1
MOT17-02-FRCNN,11,19,46,v_to_u,19,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0
MOT17-02-FRCNN,11,20,46,u_to_v,11,20,1,,47.0,332,46,46,91,1
MOT17-02-FRCNN,11,20,46,v_to_u,20,11,0,no_post_boundary_handoff_frame,,0,46,46,0,0
MOT17-02-FRCNN,11,21,46,u_to_v,11,21,1,,47.0,35,43,43,92,1
MOT17-02-FRCNN,11,21,46,v_to_u,21,11,0,no_post_boundary_handoff_frame,,0,43,43,0,0
MOT17-02-FRCNN,11,22,46,u_to_v,11,22,1,,47.0,206,35,35,93,1
MOT17-02-FRCNN,11,22,46,v_to_u,22,11,0,no_post_boundary_handoff_frame,,0,35,35,0,0
MOT17-02-FRCNN,11,24,46,u_to_v,11,24,1,,47.0,554,17,17,94,1
MOT17-02-FRCNN,11,24,46,v_to_u,24,11,0,no_post_boundary_handoff_frame,,0,17,17,0,0
MOT17-02-FRCNN,11,27,46,u_to_v,11,27,1,,47.0,225,6,6,95,1
MOT17-02-FRCNN,11,27,46,v_to_u,27,11,0,no_post_boundary_handoff_frame,,0,6,6,0,0
MOT17-02-FRCNN,5,19,49,u_to_v,5,19,1,,73.0,85,49,49,96,1
MOT17-02-FRCNN,5,19,49,v_to_u,19,5,1,,50.0,10,49,49,97,1
MOT17-02-FRCNN,10,19,49,u_to_v,10,19,1,,73.0,85,49,49,98,1
MOT17-02-FRCNN,10,19,49,v_to_u,19,10,1,,50.0,10,49,49,99,1
MOT17-02-FRCNN,19,28,49,u_to_v,19,28,1,,50.0,15,2,2,100,1
MOT17-02-FRCNN,19,28,49,v_to_u,28,19,1,,73.0,85,2,2,101,1
MOT17-02-FRCNN,1,5,59,u_to_v,1,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,1,5,59,v_to_u,5,1,1,,60.0,500,59,59,102,1
MOT17-02-FRCNN,1,10,59,u_to_v,1,10,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,1,10,59,v_to_u,10,1,1,,60.0,500,59,59,103,1
MOT17-02-FRCNN,2,5,59,u_to_v,2,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,2,5,59,v_to_u,5,2,1,,60.0,166,59,59,104,1
MOT17-02-FRCNN,2,10,59,u_to_v,2,10,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,2,10,59,v_to_u,10,2,1,,60.0,166,59,59,105,1
MOT17-02-FRCNN,3,5,59,u_to_v,3,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,3,5,59,v_to_u,5,3,1,,60.0,386,59,59,106,1
MOT17-02-FRCNN,3,10,59,u_to_v,3,10,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,3,10,59,v_to_u,10,3,1,,60.0,386,59,59,107,1
MOT17-02-FRCNN,4,5,59,u_to_v,4,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,4,5,59,v_to_u,5,4,1,,60.0,272,59,59,108,1
MOT17-02-FRCNN,4,10,59,u_to_v,4,10,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,4,10,59,v_to_u,10,4,1,,60.0,272,59,59,109,1
MOT17-02-FRCNN,5,6,59,u_to_v,5,6,1,,60.0,352,59,59,110,1
MOT17-02-FRCNN,5,6,59,v_to_u,6,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,5,7,59,u_to_v,5,7,1,,60.0,146,59,59,111,1
MOT17-02-FRCNN,5,7,59,v_to_u,7,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,5,8,59,u_to_v,5,8,1,,60.0,270,59,59,112,1
MOT17-02-FRCNN,5,8,59,v_to_u,8,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,5,9,59,u_to_v,5,9,1,,60.0,87,59,59,113,1
MOT17-02-FRCNN,5,9,59,v_to_u,9,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,5,10,59,u_to_v,5,10,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,5,10,59,v_to_u,10,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,5,12,59,u_to_v,5,12,1,,60.0,163,59,59,114,1
MOT17-02-FRCNN,5,12,59,v_to_u,12,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,5,13,59,u_to_v,5,13,1,,60.0,334,59,59,115,1
MOT17-02-FRCNN,5,13,59,v_to_u,13,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,5,14,59,u_to_v,5,14,1,,60.0,301,59,59,116,1
MOT17-02-FRCNN,5,14,59,v_to_u,14,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,5,15,59,u_to_v,5,15,1,,60.0,234,59,59,117,1
MOT17-02-FRCNN,5,15,59,v_to_u,15,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,5,16,59,u_to_v,5,16,1,,60.0,264,59,59,118,1
MOT17-02-FRCNN,5,16,59,v_to_u,16,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,5,17,59,u_to_v,5,17,1,,60.0,59,59,59,119,1
MOT17-02-FRCNN,5,17,59,v_to_u,17,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,5,18,59,u_to_v,5,18,1,,60.0,19,59,59,120,1
MOT17-02-FRCNN,5,18,59,v_to_u,18,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,5,20,59,u_to_v,5,20,1,,60.0,319,59,59,121,1
MOT17-02-FRCNN,5,20,59,v_to_u,20,5,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,5,21,59,u_to_v,5,21,1,,60.0,22,56,56,122,1
MOT17-02-FRCNN,5,21,59,v_to_u,21,5,0,no_post_boundary_handoff_frame,,0,56,56,0,0
MOT17-02-FRCNN,5,22,59,u_to_v,5,22,1,,60.0,193,48,48,123,1
MOT17-02-FRCNN,5,22,59,v_to_u,22,5,0,no_post_boundary_handoff_frame,,0,48,48,0,0
MOT17-02-FRCNN,5,24,59,u_to_v,5,24,1,,60.0,541,30,30,124,1
MOT17-02-FRCNN,5,24,59,v_to_u,24,5,0,no_post_boundary_handoff_frame,,0,30,30,0,0
MOT17-02-FRCNN,5,27,59,u_to_v,5,27,1,,60.0,212,19,19,125,1
MOT17-02-FRCNN,5,27,59,v_to_u,27,5,0,no_post_boundary_handoff_frame,,0,19,19,0,0
MOT17-02-FRCNN,5,28,59,u_to_v,5,28,1,,60.0,5,12,12,126,1
MOT17-02-FRCNN,5,28,59,v_to_u,28,5,0,no_post_boundary_handoff_frame,,0,12,12,0,0
MOT17-02-FRCNN,5,29,59,u_to_v,5,29,1,,60.0,95,8,8,127,1
MOT17-02-FRCNN,5,29,59,v_to_u,29,5,0,no_post_boundary_handoff_frame,,0,8,8,0,0
MOT17-02-FRCNN,6,10,59,u_to_v,6,10,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,6,10,59,v_to_u,10,6,1,,60.0,352,59,59,128,1
MOT17-02-FRCNN,7,10,59,u_to_v,7,10,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,7,10,59,v_to_u,10,7,1,,60.0,146,59,59,129,1
MOT17-02-FRCNN,8,10,59,u_to_v,8,10,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,8,10,59,v_to_u,10,8,1,,60.0,270,59,59,130,1
MOT17-02-FRCNN,9,10,59,u_to_v,9,10,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,9,10,59,v_to_u,10,9,1,,60.0,87,59,59,131,1
MOT17-02-FRCNN,10,12,59,u_to_v,10,12,1,,60.0,163,59,59,132,1
MOT17-02-FRCNN,10,12,59,v_to_u,12,10,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,10,13,59,u_to_v,10,13,1,,60.0,334,59,59,133,1
MOT17-02-FRCNN,10,13,59,v_to_u,13,10,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,10,14,59,u_to_v,10,14,1,,60.0,301,59,59,134,1
MOT17-02-FRCNN,10,14,59,v_to_u,14,10,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,10,15,59,u_to_v,10,15,1,,60.0,234,59,59,135,1
MOT17-02-FRCNN,10,15,59,v_to_u,15,10,0,no_post_boundary_handoff_frame,,0,59,59,0,0
MOT17-02-FRCNN,10,16,59,u_to_v,10,16,1,,60.0,264,59,59,136,1
MOT17-02-FRCNN,10,16,59,v_to_u,16,10,0,no_post_boundary_handoff_frame,,0,59,59,0,0
