sequence,target_gt_id,local_episode_index,spawn_episode_id,synthetic_tracker_id,first_frame,last_frame,span_frames,observed_frames,events,replacement_events,addition_events
MOT20-01,39,0,31,10000031,86,87,2,2,2,2,0
MOT20-01,40,0,32,10000032,180,189,10,8,8,8,0
MOT20-01,42,0,33,10000033,47,48,2,2,2,2,0
MOT20-01,45,0,34,10000034,179,213,35,7,7,6,1
MOT20-01,45,1,35,10000035,266,266,1,1,1,1,0
MOT20-01,46,0,36,10000036,167,267,101,9,9,1,8
MOT20-01,47,0,37,10000037,167,167,1,1,1,1,0
MOT20-01,47,1,38,10000038,309,309,1,1,1,1,0
MOT20-01,47,2,39,10000039,390,390,1,1,1,0,1
MOT20-01,48,0,40,10000040,365,392,28,3,3,1,2
MOT20-01,49,0,41,10000041,226,231,6,3,3,2,1
MOT20-01,50,0,42,10000042,417,420,4,3,3,3,0
MOT20-01,51,0,43,10000043,330,330,1,1,1,1,0
MOT20-01,51,1,44,10000044,412,416,5,2,2,0,2
MOT20-01,53,0,45,10000045,245,263,19,7,7,7,0
MOT20-01,53,1,46,10000046,353,419,67,17,17,17,0
MOT20-01,54,0,47,10000047,367,367,1,1,1,1,0
MOT20-01,56,0,48,10000048,88,88,1,1,1,1,0
MOT20-01,57,0,49,10000049,145,145,1,1,1,1,0
MOT20-01,58,0,50,10000050,277,293,17,7,7,4,3
MOT20-01,58,1,51,10000051,404,404,1,1,1,1,0
MOT20-01,59,0,52,10000052,159,159,1,1,1,1,0
MOT20-01,60,0,53,10000053,353,353,1,1,1,1,0
MOT20-01,63,0,54,10000054,243,250,8,5,5,1,4
MOT20-01,64,0,55,10000055,245,291,47,6,6,3,3
MOT20-01,66,0,56,10000056,409,421,13,4,4,2,2
MOT20-01,68,0,57,10000057,331,333,3,2,2,2,0
MOT20-01,71,0,58,10000058,420,424,5,4,4,0,4
MOT20-01,72,0,59,10000059,404,404,1,1,1,1,0
MOT20-01,74,0,60,10000060,168,223,56,22,22,8,14
MOT20-01,74,1,61,10000061,349,429,81,19,19,1,18
MOT20-01,77,0,62,10000062,220,305,86,30,30,25,5
MOT20-01,77,1,63,10000063,357,415,59,8,8,7,1
MOT20-01,78,0,64,10000064,217,217,1,1,1,1,0
MOT20-01,78,1,65,10000065,414,414,1,1,1,1,0
MOT20-02,1,0,66,11000066,789,826,38,8,8,4,4
MOT20-02,2,0,67,11000067,1039,1040,2,2,2,0,2
MOT20-02,3,0,68,11000068,809,809,1,1,1,1,0
MOT20-02,3,1,69,11000069,960,960,1,1,1,0,1
MOT20-02,3,2,70,11000070,1074,1077,4,2,2,0,2
MOT20-02,4,0,71,11000071,931,934,4,4,4,1,3
MOT20-02,5,0,72,11000072,1492,1495,4,4,4,0,4
MOT20-02,6,0,73,11000073,882,882,1,1,1,1,0
MOT20-02,6,1,74,11000074,1491,1496,6,2,2,0,2
MOT20-02,8,0,75,11000075,1316,1317,2,2,2,0,2
MOT20-02,9,0,76,11000076,1711,1711,1,1,1,0,1
MOT20-02,10,0,77,11000077,1421,1426,6,2,2,0,2
MOT20-02,11,0,78,11000078,731,731,1,1,1,1,0
MOT20-02,11,1,79,11000079,1245,1302,58,22,22,7,15
MOT20-02,12,0,80,11000080,1294,1335,42,15,15,14,1
MOT20-02,12,1,81,11000081,1376,1377,2,2,2,1,1
MOT20-02,13,0,82,11000082,986,1045,60,25,25,3,22
MOT20-02,13,1,83,11000083,1270,1323,54,26,26,13,13
MOT20-02,13,2,84,11000084,1395,1405,11,3,3,3,0
MOT20-02,14,0,85,11000085,1325,1351,27,4,4,3,1
MOT20-02,14,1,86,11000086,1453,1456,4,3,3,0,3
MOT20-02,15,0,87,11000087,418,418,1,1,1,1,0
MOT20-02,15,1,88,11000088,941,941,1,1,1,1,0
MOT20-02,15,2,89,11000089,996,1026,31,17,17,13,4
MOT20-02,17,0,90,11000090,929,929,1,1,1,1,0
MOT20-02,18,0,91,11000091,1836,1862,27,9,9,6,3
MOT20-02,18,1,92,11000092,1900,1903,4,2,2,2,0
MOT20-02,18,2,93,11000093,2029,2029,1,1,1,0,1
MOT20-02,18,3,94,11000094,2114,2116,3,3,3,0,3
MOT20-02,19,0,95,11000095,1293,1299,7,3,3,2,1
MOT20-02,19,1,96,11000096,1712,1716,5,2,2,2,0
MOT20-02,19,2,97,11000097,1794,1829,36,5,5,5,0
MOT20-02,19,3,98,11000098,1886,1899,14,6,6,1,5
MOT20-02,19,4,99,11000099,2074,2093,20,6,6,5,1
MOT20-02,21,0,100,11000100,1310,1313,4,4,4,4,0
MOT20-02,22,0,101,11000101,1041,1044,4,2,2,2,0
MOT20-02,25,0,102,11000102,1162,1164,3,3,3,0,3
MOT20-02,26,0,103,11000103,1257,1257,1,1,1,1,0
MOT20-02,26,1,104,11000104,1319,1319,1,1,1,1,0
MOT20-02,28,0,105,11000105,1307,1310,4,2,2,2,0
MOT20-02,29,0,106,11000106,1179,1182,4,3,3,3,0
MOT20-02,30,0,107,11000107,1645,1645,1,1,1,1,0
MOT20-02,31,0,108,11000108,1268,1297,30,2,2,1,1
MOT20-02,31,1,109,11000109,1657,1657,1,1,1,1,0
MOT20-02,32,0,110,11000110,1196,1239,44,30,30,6,24
MOT20-02,32,1,111,11000111,1329,1349,21,12,12,7,5
MOT20-02,32,2,112,11000112,1386,1421,36,12,12,8,4
MOT20-02,32,3,113,11000113,1710,1710,1,1,1,1,0
MOT20-02,33,0,114,11000114,1264,1304,41,15,15,5,10
MOT20-02,33,1,115,11000115,1373,1406,34,12,12,6,6
MOT20-02,33,2,116,11000116,1549,1661,113,41,41,22,19
MOT20-02,33,3,117,11000117,1705,1772,68,21,21,21,0
MOT20-02,34,0,118,11000118,1527,1529,3,3,3,0,3
MOT20-02,34,1,119,11000119,1741,1770,30,7,7,3,4
MOT20-02,35,0,120,11000120,1810,1820,11,4,4,0,4
MOT20-02,36,0,121,11000121,1519,1612,94,24,24,14,10
MOT20-02,37,0,122,11000122,1330,1338,9,2,2,0,2
MOT20-02,37,1,123,11000123,1501,1536,36,8,8,1,7
MOT20-02,37,2,124,11000124,1722,1722,1,1,1,0,1
MOT20-02,38,0,125,11000125,1442,1451,10,5,5,4,1
MOT20-02,38,1,126,11000126,1669,1669,1,1,1,1,0
MOT20-02,39,0,127,11000127,1463,1500,38,11,11,1,10
MOT20-02,39,1,128,11000128,1712,1775,64,18,18,16,2
MOT20-02,40,0,129,11000129,1425,1442,18,2,2,0,2
MOT20-02,40,1,130,11000130,1473,1475,3,2,2,2,0
MOT20-02,40,2,131,11000131,1530,1535,6,2,2,1,1
MOT20-02,41,0,132,11000132,1436,1436,1,1,1,1,0
MOT20-02,42,0,133,11000133,1758,1767,10,6,6,0,6
MOT20-02,42,1,134,11000134,1830,1860,31,10,10,10,0
MOT20-02,43,0,135,11000135,1427,1442,16,3,3,1,2
MOT20-02,43,1,136,11000136,1541,1610,70,24,24,8,16
MOT20-02,44,0,137,11000137,1682,1742,61,8,8,4,4
MOT20-02,45,0,138,11000138,1749,1749,1,1,1,1,0
MOT20-02,46,0,139,11000139,1603,1641,39,12,12,5,7
MOT20-02,47,0,140,11000140,1317,1319,3,3,3,3,0
MOT20-02,47,1,141,11000141,1611,1611,1,1,1,1,0
MOT20-02,48,0,142,11000142,1629,1767,139,59,59,18,41
MOT20-02,48,1,143,11000143,1837,1862,26,4,4,3,1
MOT20-02,48,2,144,11000144,1927,1927,1,1,1,0,1
MOT20-02,49,0,145,11000145,1816,1820,5,3,3,1,2
MOT20-02,50,0,146,11000146,1782,1808,27,9,9,2,7
MOT20-02,50,1,147,11000147,1869,1869,1,1,1,0,1
MOT20-02,50,2,148,11000148,1977,1985,9,2,2,1,1
MOT20-02,51,0,149,11000149,1945,1945,1,1,1,1,0
MOT20-02,52,0,150,11000150,1912,1912,1,1,1,1,0
MOT20-02,53,0,151,11000151,1685,1685,1,1,1,1,0
MOT20-02,53,1,152,11000152,1849,1855,7,3,3,1,2
MOT20-02,53,2,153,11000153,1914,1917,4,2,2,2,0
MOT20-02,53,3,154,11000154,1976,1978,3,2,2,1,1
MOT20-02,53,4,155,11000155,2022,2046,25,8,8,3,5
MOT20-02,54,0,156,11000156,1887,1887,1,1,1,1,0
MOT20-02,55,0,157,11000157,427,427,1,1,1,0,1
MOT20-02,55,1,158,11000158,464,551,88,57,57,24,33
MOT20-02,55,2,159,11000159,899,1000,102,45,45,21,24
MOT20-02,55,3,160,11000160,1037,1083,47,12,12,9,3
MOT20-02,55,4,161,11000161,1215,1321,107,50,50,13,37
MOT20-02,55,5,162,11000162,1374,1458,85,19,19,15,4
MOT20-02,55,6,163,11000163,1573,1588,16,13,13,13,0
MOT20-02,55,7,164,11000164,1622,1729,108,44,44,44,0
MOT20-02,56,0,165,11000165,1446,1447,2,2,2,2,0
MOT20-02,56,1,166,11000166,1838,1845,8,3,3,2,1
MOT20-02,56,2,167,11000167,1882,1920,39,9,9,0,9
MOT20-02,58,0,168,11000168,1686,1686,1,1,1,0,1
MOT20-02,58,1,169,11000169,1765,1781,17,11,11,8,3
MOT20-02,59,0,170,11000170,1085,1092,8,6,6,6,0
MOT20-02,59,1,171,11000171,1613,1641,29,27,27,4,23
MOT20-02,59,2,172,11000172,1818,1823,6,5,5,3,2
MOT20-02,60,0,173,11000173,1362,1362,1,1,1,0,1
MOT20-02,60,1,174,11000174,1604,1611,8,5,5,0,5
MOT20-02,60,2,175,11000175,1665,1665,1,1,1,1,0
MOT20-02,60,3,176,11000176,1707,1709,3,3,3,1,2
MOT20-02,60,4,177,11000177,1753,1753,1,1,1,1,0
MOT20-02,60,5,178,11000178,1794,1795,2,2,2,0,2
MOT20-02,60,6,179,11000179,2130,2138,9,9,9,9,0
MOT20-02,61,0,180,11000180,1329,1346,18,11,11,3,8
MOT20-02,61,1,181,11000181,1409,1440,32,6,6,1,5
MOT20-02,61,2,182,11000182,1582,1668,87,32,32,7,25
MOT20-02,62,0,183,11000183,1365,1391,27,12,12,8,4
MOT20-02,62,1,184,11000184,1464,1493,30,6,6,6,0
MOT20-02,62,2,185,11000185,1540,1540,1,1,1,1,0
MOT20-02,64,0,186,11000186,1430,1461,32,12,12,6,6
MOT20-02,64,1,187,11000187,1496,1513,18,8,8,6,2
MOT20-02,64,2,188,11000188,1733,1733,1,1,1,0,1
MOT20-02,65,0,189,11000189,1766,1768,3,2,2,2,0
MOT20-02,65,1,190,11000190,2207,2207,1,1,1,1,0
MOT20-02,66,0,191,11000191,1146,1147,2,2,2,2,0
MOT20-02,66,1,192,11000192,1713,1713,1,1,1,1,0
MOT20-02,66,2,193,11000193,1787,1827,41,7,7,1,6
MOT20-02,70,0,194,11000194,1135,1136,2,2,2,2,0
MOT20-02,70,1,195,11000195,1572,1582,11,3,3,1,2
MOT20-02,70,2,196,11000196,1808,1834,27,3,3,2,1
MOT20-02,71,0,197,11000197,2249,2249,1,1,1,1,0
MOT20-02,72,0,198,11000198,1609,1609,1,1,1,1,0
MOT20-02,72,1,199,11000199,1810,1864,55,7,7,6,1
MOT20-02,73,0,200,11000200,1548,1578,31,4,4,2,2
MOT20-02,73,1,201,11000201,1800,1870,71,23,23,22,1
MOT20-02,74,0,202,11000202,1707,1739,33,7,7,1,6
MOT20-02,74,1,203,11000203,1798,1913,116,38,38,34,4
MOT20-02,75,0,204,11000204,1638,1648,11,3,3,3,0
MOT20-02,75,1,205,11000205,1709,1710,2,2,2,0,2
MOT20-02,75,2,206,11000206,1851,1983,133,36,36,22,14
MOT20-02,76,0,207,11000207,1558,1608,51,24,24,13,11
MOT20-02,76,1,208,11000208,1690,1716,27,3,3,3,0
MOT20-02,76,2,209,11000209,1748,1769,22,6,6,6,0
MOT20-02,76,3,210,11000210,1809,1822,14,2,2,2,0
MOT20-02,77,0,211,11000211,1940,2064,125,27,27,20,7
MOT20-02,77,1,212,11000212,2160,2160,1,1,1,1,0
MOT20-02,78,0,213,11000213,1746,1755,10,5,5,0,5
MOT20-02,78,1,214,11000214,1929,1929,1,1,1,1,0
MOT20-02,78,2,215,11000215,1989,1989,1,1,1,1,0
MOT20-02,78,3,216,11000216,2070,2084,15,2,2,2,0
MOT20-02,78,4,217,11000217,2117,2117,1,1,1,1,0
MOT20-02,79,0,218,11000218,1632,1633,2,2,2,2,0
MOT20-02,79,1,219,11000219,1893,2007,115,34,34,24,10
MOT20-02,79,2,220,11000220,2048,2077,30,9,9,6,3
MOT20-02,79,3,221,11000221,2169,2169,1,1,1,1,0
MOT20-02,80,0,222,11000222,1832,1832,1,1,1,1,0
MOT20-02,80,1,223,11000223,1874,1879,6,3,3,3,0
MOT20-02,80,2,224,11000224,1919,1996,78,11,11,7,4
MOT20-02,80,3,225,11000225,2178,2212,35,11,11,4,7
MOT20-02,81,0,226,11000226,1844,1923,80,21,21,18,3
MOT20-02,83,0,227,11000227,1900,1928,29,6,6,2,4
MOT20-02,83,1,228,11000228,1959,2042,84,22,22,5,17
MOT20-02,83,2,229,11000229,2404,2408,5,4,4,4,0
MOT20-02,84,0,230,11000230,1915,1916,2,2,2,2,0
MOT20-02,84,1,231,11000231,2020,2020,1,1,1,1,0
MOT20-02,84,2,232,11000232,2421,2421,1,1,1,1,0
MOT20-02,85,0,233,11000233,1878,1900,23,11,11,1,10
MOT20-02,85,1,234,11000234,1937,2047,111,19,19,5,14
MOT20-02,85,2,235,11000235,2200,2200,1,1,1,1,0
MOT20-02,86,0,236,11000236,1622,1622,1,1,1,0,1
MOT20-02,86,1,237,11000237,1711,1747,37,17,17,2,15
MOT20-02,86,2,238,11000238,1793,1793,1,1,1,0,1
MOT20-02,86,3,239,11000239,1859,1938,80,18,18,17,1
MOT20-02,86,4,240,11000240,1975,2007,33,14,14,13,1
MOT20-02,87,0,241,11000241,1054,1054,1,1,1,1,0
MOT20-02,87,1,242,11000242,1395,1400,6,6,6,1,5
MOT20-02,87,2,243,11000243,2138,2138,1,1,1,0,1
MOT20-02,88,0,244,11000244,1564,1609,46,11,11,4,7
MOT20-02,88,1,245,11000245,1665,1675,11,5,5,0,5
MOT20-02,88,2,246,11000246,1956,1956,1,1,1,0,1
MOT20-02,89,0,247,11000247,1947,1947,1,1,1,0,1
MOT20-02,89,1,248,11000248,2032,2032,1,1,1,1,0
MOT20-02,90,0,249,11000249,2683,2685,3,2,2,2,0
MOT20-02,91,0,250,11000250,2333,2333,1,1,1,0,1
MOT20-02,91,1,251,11000251,2487,2501,15,3,3,2,1
MOT20-02,92,0,252,11000252,2650,2663,14,6,6,1,5
MOT20-02,93,0,253,11000253,2307,2307,1,1,1,1,0
MOT20-02,93,1,254,11000254,2521,2532,12,11,11,0,11
MOT20-02,94,0,255,11000255,1721,1847,127,23,23,17,6
MOT20-02,94,1,256,11000256,1888,2016,129,49,49,25,24
MOT20-02,94,2,257,11000257,2220,2220,1,1,1,1,0
MOT20-02,95,0,258,11000258,2257,2276,20,4,4,3,1
MOT20-02,95,1,259,11000259,2313,2313,1,1,1,0,1
MOT20-02,95,2,260,11000260,2419,2424,6,3,3,3,0
MOT20-02,96,0,261,11000261,1736,1767,32,13,13,9,4
MOT20-02,96,1,262,11000262,1892,1892,1,1,1,1,0
MOT20-02,96,2,263,11000263,2111,2111,1,1,1,0,1
MOT20-02,96,3,264,11000264,2185,2186,2,2,2,0,2
MOT20-02,97,0,265,11000265,1827,1835,9,2,2,1,1
MOT20-02,97,1,266,11000266,1930,1935,6,4,4,1,3
MOT20-02,97,2,267,11000267,2066,2078,13,3,3,0,3
MOT20-02,97,3,268,11000268,2114,2127,14,2,2,0,2
MOT20-02,97,4,269,11000269,2220,2260,41,10,10,6,4
MOT20-02,97,5,270,11000270,2299,2301,3,2,2,0,2
MOT20-02,98,0,271,11000271,1809,1809,1,1,1,0,1
MOT20-02,98,1,272,11000272,1951,1971,21,2,2,1,1
MOT20-02,99,0,273,11000273,2181,2181,1,1,1,1,0
MOT20-02,99,1,274,11000274,2227,2235,9,5,5,1,4
MOT20-02,100,0,275,11000275,1892,1892,1,1,1,0,1
MOT20-02,100,1,276,11000276,1978,2012,35,5,5,3,2
MOT20-02,100,2,277,11000277,2116,2133,18,3,3,1,2
MOT20-02,100,3,278,11000278,2214,2214,1,1,1,1,0
MOT20-02,101,0,279,11000279,2479,2492,14,2,2,0,2
MOT20-02,103,0,280,11000280,1981,1981,1,1,1,1,0
MOT20-02,103,1,281,11000281,2092,2092,1,1,1,1,0
MOT20-02,103,2,282,11000282,2338,2338,1,1,1,0,1
MOT20-02,103,3,283,11000283,2553,2558,6,3,3,3,0
MOT20-02,104,0,284,11000284,2283,2286,4,3,3,3,0
MOT20-02,105,0,285,11000285,1588,1588,1,1,1,0,1
MOT20-02,105,1,286,11000286,1704,1717,14,6,6,4,2
MOT20-02,105,2,287,11000287,1761,1804,44,5,5,3,2
MOT20-02,105,3,288,11000288,1899,1912,14,4,4,3,1
MOT20-02,105,4,289,11000289,1945,1945,1,1,1,1,0
MOT20-02,105,5,290,11000290,2135,2144,10,2,2,2,0
MOT20-02,106,0,291,11000291,1716,1739,24,4,4,4,0
MOT20-02,106,1,292,11000292,1797,1797,1,1,1,0,1
MOT20-02,106,2,293,11000293,1914,1914,1,1,1,1,0
MOT20-02,106,3,294,11000294,1967,1969,3,3,3,0,3
MOT20-02,106,4,295,11000295,2139,2139,1,1,1,1,0
MOT20-02,107,0,296,11000296,1991,2010,20,7,7,6,1
MOT20-02,108,0,297,11000297,1936,1974,39,8,8,3,5
MOT20-02,108,1,298,11000298,2173,2174,2,2,2,1,1
MOT20-02,108,2,299,11000299,2341,2349,9,6,6,3,3
MOT20-02,108,3,300,11000300,2416,2421,6,3,3,0,3
MOT20-02,109,0,301,11000301,1949,1949,1,1,1,1,0
MOT20-02,109,1,302,11000302,1981,1986,6,3,3,2,1
MOT20-02,110,0,303,11000303,1906,1906,1,1,1,1,0
MOT20-02,110,1,304,11000304,2470,2499,30,12,12,0,12
MOT20-02,111,0,305,11000305,1590,1590,1,1,1,1,0
MOT20-02,111,1,306,11000306,1626,1631,6,2,2,1,1
MOT20-02,111,2,307,11000307,1670,1670,1,1,1,0,1
MOT20-02,111,3,308,11000308,1861,1861,1,1,1,1,0
MOT20-02,111,4,309,11000309,1913,1913,1,1,1,0,1
MOT20-02,111,5,310,11000310,2023,2046,24,4,4,1,3
MOT20-02,112,0,311,11000311,2139,2178,40,16,16,11,5
MOT20-02,113,0,312,11000312,1761,1786,26,9,9,4,5
MOT20-02,113,1,313,11000313,1821,1826,6,2,2,1,1
MOT20-02,113,2,314,11000314,2131,2213,83,24,24,12,12
MOT20-02,114,0,315,11000315,1933,1952,20,4,4,4,0
MOT20-02,114,1,316,11000316,2001,2002,2,2,2,2,0
MOT20-02,114,2,317,11000317,2372,2375,4,4,4,0,4
MOT20-02,115,0,318,11000318,1839,1870,32,4,4,0,4
MOT20-02,115,1,319,11000319,1929,1929,1,1,1,0,1
MOT20-02,115,2,320,11000320,2193,2228,36,11,11,6,5
MOT20-02,116,0,321,11000321,1920,1997,78,14,14,4,10
MOT20-02,117,0,322,11000322,2337,2358,22,13,13,10,3
MOT20-02,117,1,323,11000323,2502,2531,30,13,13,11,2
MOT20-02,118,0,324,11000324,1839,1850,12,7,7,6,1
MOT20-02,118,1,325,11000325,2365,2365,1,1,1,1,0
MOT20-02,119,0,326,11000326,2044,2080,37,13,13,9,4
MOT20-02,119,1,327,11000327,2296,2299,4,4,4,0,4
MOT20-02,119,2,328,11000328,2357,2360,4,4,4,0,4
MOT20-02,120,0,329,11000329,1764,1775,12,3,3,3,0
MOT20-02,120,1,330,11000330,1841,1881,41,20,20,10,10
MOT20-02,120,2,331,11000331,1960,1960,1,1,1,1,0
MOT20-02,120,3,332,11000332,2010,2023,14,6,6,6,0
MOT20-02,120,4,333,11000333,2104,2156,53,30,30,20,10
MOT20-02,120,5,334,11000334,2194,2194,1,1,1,1,0
MOT20-02,120,6,335,11000335,2248,2253,6,2,2,2,0
MOT20-02,120,7,336,11000336,2317,2393,77,15,15,13,2
MOT20-02,122,0,337,11000337,2236,2242,7,4,4,2,2
MOT20-02,122,1,338,11000338,2274,2279,6,3,3,1,2
MOT20-02,122,2,339,11000339,2605,2650,46,16,16,13,3
MOT20-02,123,0,340,11000340,2667,2668,2,2,2,2,0
MOT20-02,124,0,341,11000341,2037,2057,21,3,3,3,0
MOT20-02,124,1,342,11000342,2090,2155,66,14,14,14,0
MOT20-02,124,2,343,11000343,2377,2377,1,1,1,1,0
MOT20-02,125,0,344,11000344,2013,2037,25,2,2,2,0
MOT20-02,125,1,345,11000345,2498,2501,4,2,2,0,2
MOT20-02,125,2,346,11000346,2632,2678,47,23,23,21,2
MOT20-02,127,0,347,11000347,2098,2098,1,1,1,1,0
MOT20-02,127,1,348,11000348,2195,2195,1,1,1,0,1
MOT20-02,127,2,349,11000349,2672,2697,26,5,5,3,2
MOT20-02,128,0,350,11000350,2218,2224,7,2,2,1,1
MOT20-02,128,1,351,11000351,2573,2603,31,12,12,7,5
MOT20-02,128,2,352,11000352,2750,2763,14,5,5,5,0
MOT20-02,129,0,353,11000353,2183,2184,2,2,2,0,2
MOT20-02,131,0,354,11000354,2434,2510,77,19,19,13,6
MOT20-02,131,1,355,11000355,2650,2650,1,1,1,1,0
MOT20-02,133,0,356,11000356,2130,2133,4,3,3,2,1
MOT20-02,136,0,357,11000357,2643,2644,2,2,2,2,0
MOT20-02,140,0,358,11000358,2582,2585,4,2,2,0,2
MOT20-02,141,0,359,11000359,2181,2223,43,17,17,9,8
MOT20-02,141,1,360,11000360,2525,2526,2,2,2,0,2
MOT20-02,141,2,361,11000361,2558,2584,27,9,9,7,2
MOT20-02,145,0,362,11000362,2570,2570,1,1,1,0,1
MOT20-02,149,0,363,11000363,2748,2754,7,2,2,0,2
MOT20-02,151,0,364,11000364,2506,2516,11,8,8,0,8
MOT20-02,152,0,365,11000365,2484,2500,17,5,5,1,4
MOT20-02,158,0,366,11000366,1923,1958,36,11,11,5,6
MOT20-02,158,1,367,11000367,2012,2052,41,6,6,3,3
MOT20-02,158,2,368,11000368,2485,2485,1,1,1,0,1
MOT20-02,159,0,369,11000369,2045,2075,31,5,5,2,3
MOT20-02,159,1,370,11000370,2471,2516,46,16,16,12,4
MOT20-02,159,2,371,11000371,2623,2628,6,6,6,2,4
MOT20-02,159,3,372,11000372,2670,2678,9,3,3,3,0
MOT20-02,160,0,373,11000373,2082,2247,166,46,46,36,10
MOT20-02,160,1,374,11000374,2655,2699,45,19,19,6,13
MOT20-02,161,0,375,11000375,2091,2096,6,3,3,2,1
MOT20-02,161,1,376,11000376,2200,2207,8,5,5,1,4
MOT20-02,168,0,377,11000377,2146,2204,59,13,13,12,1
MOT20-02,168,1,378,11000378,2251,2251,1,1,1,1,0
MOT20-02,168,2,379,11000379,2362,2363,2,2,2,2,0
MOT20-02,172,0,380,11000380,1996,2057,62,7,7,1,6
MOT20-02,172,1,381,11000381,2219,2223,5,2,2,0,2
MOT20-02,172,2,382,11000382,2445,2653,209,55,55,18,37
MOT20-02,173,0,383,11000383,1831,1866,36,12,12,1,11
MOT20-02,173,1,384,11000384,2268,2268,1,1,1,1,0
MOT20-02,174,0,385,11000385,1896,1897,2,2,2,2,0
MOT20-02,174,1,386,11000386,2060,2097,38,7,7,4,3
MOT20-02,174,2,387,11000387,2128,2138,11,2,2,2,0
MOT20-02,174,3,388,11000388,2238,2298,61,22,22,10,12
MOT20-02,176,0,389,11000389,1138,1138,1,1,1,1,0
MOT20-02,176,1,390,11000390,1877,1881,5,4,4,0,4
MOT20-02,176,2,391,11000391,1965,1972,8,2,2,1,1
MOT20-02,176,3,392,11000392,2075,2177,103,19,19,18,1
MOT20-02,176,4,393,11000393,2471,2473,3,3,3,3,0
MOT20-02,177,0,394,11000394,103,103,1,1,1,1,0
MOT20-02,177,1,395,11000395,165,187,23,11,11,6,5
MOT20-02,177,2,396,11000396,231,234,4,2,2,2,0
MOT20-02,177,3,397,11000397,405,416,12,6,6,0,6
MOT20-02,177,4,398,11000398,479,486,8,5,5,5,0
MOT20-02,177,5,399,11000399,551,559,9,5,5,3,2
MOT20-02,177,6,400,11000400,739,739,1,1,1,0,1
MOT20-02,177,7,401,11000401,815,815,1,1,1,1,0
MOT20-02,177,8,402,11000402,1001,1326,326,200,200,86,114
MOT20-02,177,9,403,11000403,1361,1483,123,54,54,16,38
MOT20-02,177,10,404,11000404,1841,1841,1,1,1,1,0
MOT20-02,177,11,405,11000405,2064,2203,140,47,47,40,7
MOT20-02,177,12,406,11000406,2240,2270,31,9,9,9,0
MOT20-02,177,13,407,11000407,2348,2434,87,36,36,24,12
MOT20-02,177,14,408,11000408,2565,2666,102,34,34,33,1
MOT20-02,178,0,409,11000409,1297,1523,227,57,57,53,4
MOT20-02,178,1,410,11000410,1984,1987,4,4,4,4,0
MOT20-02,179,0,411,11000411,1594,1710,117,37,37,8,29
MOT20-02,179,1,412,11000412,1774,1863,90,15,15,1,14
MOT20-02,179,2,413,11000413,1925,1948,24,5,5,1,4
MOT20-02,179,3,414,11000414,2019,2089,71,9,9,4,5
MOT20-02,179,4,415,11000415,2120,2120,1,1,1,1,0
MOT20-02,179,5,416,11000416,2156,2187,32,4,4,0,4
MOT20-02,180,0,417,11000417,1611,1626,16,6,6,4,2
MOT20-02,180,1,418,11000418,1764,1912,149,22,22,5,17
MOT20-02,180,2,419,11000419,1988,2196,209,62,62,21,41
MOT20-02,183,0,420,11000420,416,462,47,30,30,14,16
MOT20-02,183,1,421,11000421,616,638,23,13,13,5,8
MOT20-02,183,2,422,11000422,938,986,49,6,6,6,0
MOT20-02,183,3,423,11000423,1025,1062,38,20,20,7,13
MOT20-02,183,4,424,11000424,1433,1437,5,3,3,3,0
