seq,canonical_rank,u,v,boundary_frame,transaction_type,model_name,temporal_block,prediction,full_idtp_delta_norm
MOT17-13-FRCNN,1841,70,105,382,v_to_u,geometry_positive,3,0.736119828694,0.086757990868
MOT17-02-FRCNN,890,12,66,221,v_to_u,geometry_utility,0,-0.004177943781,-0.004484304933
MOT17-02-FRCNN,1704,4,8,329,v_to_u,geometry_utility,1,-0.002424346965,0.0
MOT17-02-FRCNN,2676,38,48,444,u_to_v,geometry_utility,2,-0.002209263799,-0.001587301587
MOT17-02-FRCNN,3753,1,157,577,v_to_u,geometry_utility,3,-0.00238237941,0.0
MOT17-04-FRCNN,347,28,29,311,u_to_v,geometry_utility,0,-0.005308003035,0.0
MOT17-04-FRCNN,702,9,33,521,v_to_u,geometry_utility,1,-0.004468093581,0.0
MOT17-04-FRCNN,1214,23,26,689,v_to_u,geometry_utility,2,-0.002038682383,-0.000729927007
MOT17-04-FRCNN,1553,38,85,863,v_to_u,geometry_utility,3,-0.00049930847,-0.030646992054
MOT17-05-FRCNN,349,30,43,256,v_to_u,geometry_utility,0,-0.005152006394,0.0
MOT17-05-FRCNN,386,1,54,260,v_to_u,geometry_utility,1,-0.006016569858,-0.003787878788
MOT17-05-FRCNN,895,107,121,567,u_to_v,geometry_utility,2,-0.011718365784,0.0
MOT17-05-FRCNN,1417,118,171,836,v_to_u,geometry_utility,3,-0.003839314726,-0.003058103976
MOT17-09-FRCNN,90,5,21,216,v_to_u,geometry_utility,0,-0.013561054113,-0.017467248908
MOT17-09-FRCNN,113,6,26,247,v_to_u,geometry_utility,1,-0.008588940436,-0.012
MOT17-09-FRCNN,194,14,16,337,v_to_u,geometry_utility,2,-0.006503498244,-0.008219178082
MOT17-09-FRCNN,355,4,46,524,v_to_u,geometry_utility,3,-0.004920855558,0.001908396947
MOT17-10-FRCNN,245,16,19,70,u_to_v,geometry_utility,0,-0.004707812754,0.0
MOT17-10-FRCNN,506,44,48,195,v_to_u,geometry_utility,1,-0.015575308725,-0.041666666667
MOT17-10-FRCNN,871,31,67,390,v_to_u,geometry_utility,2,0.011830586162,-0.304347826087
MOT17-10-FRCNN,1006,2,74,449,v_to_u,geometry_utility,3,0.003457181868,-0.325396825397
MOT17-11-FRCNN,31,3,16,20,u_to_v,geometry_utility,0,-0.011712581619,0.0
MOT17-11-FRCNN,329,28,37,327,v_to_u,geometry_utility,1,-0.008663729441,0.0
MOT17-11-FRCNN,518,1,45,734,v_to_u,geometry_utility,2,-0.003299746761,0.0
MOT17-11-FRCNN,690,21,83,897,v_to_u,geometry_utility,3,-0.004303397511,-0.003488372093
MOT17-13-FRCNN,119,5,19,30,u_to_v,geometry_utility,0,-0.010529420985,0.0
MOT17-13-FRCNN,1038,14,17,155,u_to_v,geometry_utility,1,-0.003922160641,0.0
MOT17-13-FRCNN,1361,40,43,231,v_to_u,geometry_utility,2,-0.00368027138,0.0
MOT17-13-FRCNN,1740,18,78,368,u_to_v,geometry_utility,3,-0.00394337122,-0.002079002079
MOT17-02-FRCNN,950,2,4,225,u_to_v,motion_multitask,0,1.427033040722,-0.174664107486
MOT17-02-FRCNN,1042,31,43,229,v_to_u,motion_multitask,1,1.629567935952,0.207373271889
MOT17-02-FRCNN,2749,3,119,445,u_to_v,motion_multitask,2,2.537790304361,0.18795620438
MOT17-02-FRCNN,3883,79,158,587,v_to_u,motion_multitask,3,1.62428777128,0.038805970149
MOT17-04-FRCNN,198,39,40,84,u_to_v,motion_multitask,0,1.022570102562,0.0
MOT17-04-FRCNN,552,50,60,412,u_to_v,motion_multitask,1,0.860626853503,-0.428571428571
MOT17-04-FRCNN,977,6,45,620,v_to_u,motion_multitask,2,0.935417991024,-0.27180783818
MOT17-04-FRCNN,1685,12,88,977,v_to_u,motion_multitask,3,0.858130424066,-0.069523809524
MOT17-05-FRCNN,213,28,36,205,u_to_v,motion_multitask,0,1.720763186796,0.0
MOT17-05-FRCNN,439,59,66,282,v_to_u,motion_multitask,1,1.889522753319,0.216216216216
MOT17-05-FRCNN,1039,139,140,705,u_to_v,motion_multitask,2,1.948028382046,0.0
MOT17-05-FRCNN,1294,164,168,794,u_to_v,motion_multitask,3,1.691839561103,-0.061224489796
MOT17-09-FRCNN,65,19,20,198,u_to_v,motion_multitask,0,2.301882459477,0.026627218935
MOT17-09-FRCNN,128,6,16,250,u_to_v,motion_multitask,1,2.036934713825,-0.178997613365
MOT17-09-FRCNN,201,2,14,340,v_to_u,motion_multitask,2,1.419368790695,-0.08843537415
MOT17-09-FRCNN,362,42,46,524,v_to_u,motion_multitask,3,0.994679399989,-0.023255813953
MOT17-10-FRCNN,227,16,24,64,v_to_u,motion_multitask,0,1.920486844066,0.064814814815
MOT17-10-FRCNN,576,40,51,229,v_to_u,motion_multitask,1,1.946052907,0.323076923077
MOT17-10-FRCNN,933,35,62,404,u_to_v,motion_multitask,2,1.404241558631,0.0
MOT17-10-FRCNN,997,60,72,425,v_to_u,motion_multitask,3,1.632659337591,0.381720430108
MOT17-11-FRCNN,104,7,20,58,v_to_u,motion_multitask,0,1.815788839017,-0.292929292929
MOT17-11-FRCNN,250,21,23,252,v_to_u,motion_multitask,1,1.317090178173,-0.364705882353
MOT17-11-FRCNN,410,31,45,513,u_to_v,motion_multitask,2,2.010158033623,0.452282157676
MOT17-11-FRCNN,571,56,60,763,v_to_u,motion_multitask,3,1.25692247225,-0.438502673797
MOT17-13-FRCNN,281,26,32,51,u_to_v,motion_multitask,0,2.186341419124,0.361111111111
MOT17-13-FRCNN,585,47,51,113,u_to_v,motion_multitask,1,1.447257301459,0.089285714286
MOT17-13-FRCNN,1308,38,71,217,v_to_u,motion_multitask,2,1.920655877023,0.357429718876
MOT17-13-FRCNN,1855,101,105,382,v_to_u,motion_multitask,3,2.644723210912,-0.111940298507
